,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
25714,b'4740871',59321,59319.24,59321.25,1,16.63869857788086,16.71310043334961,16.387577056884766,2.0100000000020373,-0.07440185546875,-0.25112152099609375,0
824,b'1130019',59319,59305.285,59319.2475,1,15.917757034301758,15.943894386291504,15.960599899291992,13.96249999999418,-0.026137351989746094,0.042842864990234375,2
31528,b'947291',59354,59345.188,59354.328,1,15.890288352966309,15.78243637084961,15.96371841430664,9.139999999999418,0.10785198211669922,0.07343006134033203,2
23734,b'4419323',59131,59131.438,59131.4874,1,19.982845306396484,19.987567901611328,19.17688751220703,0.049399999996239785,-0.00472259521484375,-0.8059577941894531,3
10220,b'247513',59335,59332.3,59335.41,1,17.631357192993164,17.68352508544922,18.230854034423828,3.110000000000582,-0.05216789245605469,0.5994968414306641,1
2812,b'1431021',59374,59371.34,59374.2675,1,16.909618377685547,16.976032257080078,16.655498504638672,2.9275000000052387,-0.06641387939453125,-0.254119873046875,0
18450,b'3702147',59231,59219.473,59231.4725,1,20.176549911499023,20.075347900390625,20.694780349731445,11.999500000005355,0.10120201110839844,0.5182304382324219,3
18515,b'3718248',59147,59147.48,59147.48,1,16.900924682617188,17.219451904296875,16.99793243408203,0.0,-0.3185272216796875,0.09700775146484375,0
25330,b'4684240',59346,59332.3,59346.28,1,16.164796829223633,16.100040435791016,16.231040954589844,13.979999999995925,0.06475639343261719,0.06624412536621094,2
7705,b'2126767',59221,59215.49,59221.56716666667,1,20.19541549682617,20.392314910888672,20.36122131347656,6.077166666669655,-0.19689941406250355,0.16580581665039062,3
2866,b'1441981',59367,59356.3,59367.25716666667,1,16.12085723876953,16.00442886352539,16.067527770996094,10.957166666667035,0.11642837524414062,-0.0533294677734375,2
13302,b'2884825',59357,59348.316,59357.31,1,19.19128799438477,19.35165023803711,19.24661636352539,8.993999999998778,-0.1603622436523402,0.05532836914062145,4
27422,b'4961249',59318,59305.285,59318.2475,1,16.757545471191406,16.792747497558594,17.896141052246094,12.96249999999418,-0.0352020263671875,1.1385955810546875,0
6069,b'1900359',59318,59303.344,59318.2475,1,16.6590518951416,16.850635528564453,17.0135555267334,14.90350000000035,-0.19158363342285156,0.3545036315917969,0
16656,b'3429569',58937,58937.387,58937.5252,1,20.279783248901367,20.49283599853516,20.62124252319336,0.13819999999395804,-0.21305274963379262,0.3414592742919922,3
13882,b'2968584',59394,59389.27,59394.28,1,17.001121520996094,16.893016815185547,17.103328704833984,5.010000000002037,0.10810470581054688,0.10220718383789062,0
8697,b'2278475',59316,59311.18,59316.41,1,17.29638671875,17.375823974609375,17.37985610961914,5.230000000003201,-0.079437255859375,0.08346939086914062,0
10866,b'2578174',59246,59246.23,59246.23,1,18.42192268371582,18.52590560913086,18.17913818359375,0.0,-0.10398292541503906,-0.2427845001220703,1
20068,b'3911226',59367,59361.223,59367.259,1,18.372468948364254,18.40068817138672,18.28714179992676,6.036000000000058,-0.02821922302246449,-0.0853271484374929,1
