,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
26926,b'4906013',59338,59324.25,59338.27,2,15.525069236755373,15.544079780578612,15.743036270141602,14.019999999996799,-0.019010543823238635,0.2179670333862287,6
11178,b'2622863',59348,59344.27,59348.2666,2,17.996675491333008,18.234119415283203,18.07186889648437,3.9966000000058557,-0.2374439239501953,0.07519340515136363,0
21150,b'4075395',59157,59147.48,59157.46,2,15.372482299804688,15.427536964416504,15.602653503417969,9.979999999995925,-0.055054664611816406,0.23017120361328125,6
8714,b'227849',59132,59127.387,59132.55,2,15.897842407226562,15.975414276123049,15.956398010253906,5.163000000000466,-0.07757186889648615,0.05855560302734375,2
16754,b'3449613',59338,59331.29,59338.27,2,15.432119369506836,15.494148254394531,15.412433624267578,6.9799999999959255,-0.06202888488769531,-0.019685745239257812,6
15039,b'3154540',59313,59312.383,59313.3362,2,17.768762588500977,17.862363815307617,18.07456588745117,0.9531999999962864,-0.09360122680664062,0.30580329895019176,0
28958,b'611211',59143,59140.4,59143.3775,2,15.337742805480955,15.575077056884766,15.78382968902588,2.977500000000873,-0.23733425140381037,0.4460868835449254,6
6625,b'1967552',59320,59313.2,59320.265,2,17.28137969970703,17.394847869873047,17.393226623535156,7.065000000002328,-0.11346817016601562,0.111846923828125,8
2004,b'1303545',59228,59221.62,59228.66333333333,2,20.51542091369629,20.633373260498047,20.518939971923828,7.04333333332761,-0.11795234680175781,0.0035190582275390625,4
26047,b'47844',59139,59134.01,59139.38,2,16.248584747314453,16.435054779052734,16.324337005615234,5.369999999995343,-0.18647003173828125,0.07575225830078125,2
27017,b'4918108',59129,59127.387,59129.43659999999,2,16.381736755371094,16.621707916259766,17.003786087036133,2.0495999999911874,-0.23997116088867188,0.6220493316650391,2
14187,b'3013785',59363,59350.26,59363.31,2,14.686236381530762,14.82526397705078,14.902199745178224,13.049999999995634,-0.13902759552001775,0.2159633636474627,3
23490,b'4393637',59198,59191.39,59198.3,2,17.122793197631836,17.171775817871094,17.314533233642578,6.9100000000034925,-0.04898262023925781,0.1917400360107422,8
3818,b'1583092',59322,59316.414,59322.2564,2,15.406441688537598,15.572912216186523,15.486431121826172,5.842400000001362,-0.16647052764892578,0.07998943328857422,6
31643,b'970539',59129,59127.387,59129.43659999999,2,16.969377517700195,17.07889175415039,17.932601928710938,2.0495999999911874,-0.10951423645019531,0.9632244110107422,8
30825,b'833154',59316,59311.18,59316.41,2,17.873748779296875,17.830093383789062,18.009353637695312,5.230000000003201,0.0436553955078125,0.1356048583984375,0
22852,b'4325016',59334,59334.2,59334.322,2,17.679384231567383,17.754518508911133,19.371904373168945,0.1220000000030268,-0.07513427734375,1.6925201416015625,0
9800,b'2420411',59139,59127.387,59139.38,2,15.803899765014648,15.65268611907959,16.043716430664062,11.992999999994936,0.1512136459350586,0.23981666564941406,2
28832,b'597569',59136,59127.387,59136.41966666666,2,17.659156799316406,17.26911735534668,18.48639678955078,9.03266666665877,0.39003944396972656,0.827239990234375,0
13605,b'2926430',59140,59129.266,59140.35716666668,2,13.441872596740724,13.650026321411133,13.869296073913574,11.091166666679783,-0.20815372467040838,0.4274234771728498,9
23995,b'4456327',59220,59215.49,59220.63,2,16.40300941467285,16.51315689086914,16.79244613647461,5.139999999999418,-0.11014747619628906,0.3894367218017578,2
3661,b'1564678',59316,59305.285,59316.41,2,16.064373016357422,16.149871826171875,16.333187103271484,11.125,-0.08549880981445312,0.2688140869140625,2
27643,b'4984256',59252,59252.156,59252.211500000005,2,21.20556640625,21.50172233581543,20.748666763305664,0.05550000000221189,-0.2961559295654297,-0.45689964294433594,4
777,b'1126459',59321,59320.26,59321.25,2,17.60366439819336,17.697200775146484,17.670446395874023,0.9899999999979627,-0.093536376953125,0.06678199768066406,8
30104,b'744199',59135,59129.52,59135.42,2,16.632848739624023,16.876182556152344,17.3105411529541,5.900000000001455,-0.2433338165283203,0.6776924133300781,1
21049,b'4068760',59337,59331.29,59337.27,2,16.355798721313477,16.56499481201172,16.348466873168945,5.9799999999959255,-0.2091960906982422,-0.00733184814453125,1
13010,b'2827242',59338,59331.29,59338.27,2,14.998116493225098,15.4083251953125,14.521677017211914,6.9799999999959255,-0.41020870208740234,-0.4764394760131836,6
10615,b'2545269',59404,59401.293,59404.29,2,21.37932014465332,20.902416229248047,21.179428100585938,2.997000000003027,0.47690391540527344,-0.1998920440673828,4
13266,b'2870477',59320,59307.16,59320.265,2,15.766631126403809,15.894868850708008,16.243412017822266,13.104999999995925,-0.12823772430419922,0.47678089141845703,2
9297,b'2347544',59146,59145.37,59146.33975,2,20.31887626647949,21.15008544921875,19.86493492126465,0.9697499999965657,-0.8312091827392614,-0.4539413452148402,4
16000,b'3320794',59291,59290.324,59291.41,2,21.049365997314453,21.011890411376957,20.73001480102539,1.0860000000029686,0.03747558593749645,-0.3193511962890625,4
4789,b'1737548',59314,59305.285,59314.29,2,16.831228256225586,16.616100311279297,17.682632446289062,9.00499999999738,0.21512794494628906,0.8514041900634766,1
26826,b'4891502',58937,58937.387,58937.5252,2,17.912277221679688,18.02739715576172,18.09489631652832,0.13819999999395804,-0.11511993408203125,0.1826190948486328,0
24547,b'4554400',59344,59332.3,59344.27,2,15.023727416992188,14.981693267822266,15.08846664428711,11.969999999993888,0.042034149169921875,0.06473922729492188,6
16613,b'3423730',59318,59304.156,59318.2475,2,19.03895568847656,19.167560577392575,19.115663528442383,14.091499999994994,-0.12860488891601562,0.07670783996582387,5
7998,b'2182164',59316,59305.285,59316.41,2,15.22482967376709,15.270341873168944,15.343128204345703,11.125,-0.04551219940185369,0.11829853057861328,6
9866,b'2430558',59343,59332.3,59343.2434,2,14.759466171264648,14.97516632080078,14.877840042114258,10.943399999996473,-0.21570014953613104,0.11837387084960938,3
