,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
7351,b'2077096',59230,59215.49,59230.1705,0,18.964889526367188,19.10767364501953,19.73993682861328,14.680500000002212,-0.14278411865234375,0.7750473022460938,1
18968,b'3773155',59140,59127.387,59140.35716666668,0,14.84377098083496,15.060232162475586,15.607816696166992,12.970166666680598,-0.21646118164062678,0.764045715332033,1
7977,b'2181606',59132,59127.387,59132.55,0,14.393064498901367,14.900803565979004,14.398725509643556,5.163000000000466,-0.5077390670776367,0.005661010742189276,4
31628,b'965854',59291,59291.41,59291.41,0,21.02814483642578,20.962570190429688,21.135025024414062,0.0,0.06557464599609375,0.10688018798828125,2
28731,b'584500',58937,58933.53,58937.5252,0,20.211400985717773,20.12028312683105,20.14929580688477,3.995199999997567,0.0911178588867223,-0.06210517883300426,2
12497,b'2765573',59338,59328.24,59338.27,0,14.862347602844238,15.17478370666504,14.926937103271484,10.029999999998836,-0.31243610382080256,0.0645895004272461,1
1531,b'1238054',59338,59331.29,59338.27,0,15.040921211242676,15.416899681091309,14.878040313720703,6.9799999999959255,-0.3759784698486328,-0.16288089752197266,2
22293,b'4253144',59319,59315.2,59319.2475,0,15.558868408203123,15.933012962341309,15.316563606262209,4.047500000000582,-0.37414455413818537,-0.24230480194091442,2
3767,b'1579393',59322,59317.18,59322.2564,0,15.516819953918455,15.8562650680542,15.42446517944336,5.076399999998102,-0.33944511413574396,-0.09235477447509588,2
20275,b'3932115',59231,59217.387,59231.473,0,18.09338760375977,18.541170120239254,18.051910400390625,14.085999999995693,-0.4477825164794851,-0.04147720336914418,4
25710,b'4740325',59401,59401.21,59401.27025,0,20.382495880126957,20.504695892333984,20.209686279296875,0.0602500000022701,-0.1222000122070277,-0.17280960083008168,2
12710,b'2782470',58975,58968.297,58975.42,0,16.798233032226562,17.407398223876953,16.738037109375,7.1229999999995925,-0.6091651916503906,-0.0601959228515625,4
6324,b'1924739',59337,59324.184,59337.27,0,16.253395080566406,16.562084197998047,16.44467544555664,13.085999999995693,-0.3086891174316406,0.19128036499023438,1
17303,b'3533367',59140,59127.387,59140.35716666668,0,13.872686386108398,14.42311191558838,13.848085403442385,12.970166666680598,-0.5504255294799822,-0.02460098266601385,4
8778,b'228888',59254,59248.445,59254.4108,0,18.59111785888672,18.8544864654541,18.40896224975586,5.965799999998126,-0.2633686065673828,-0.18215560913085938,2
19666,b'3874130',59161,59157.46,59161.44,0,16.243377685546875,16.40801429748535,16.204936981201172,3.9800000000032014,-0.16463661193847656,-0.038440704345703125,2
11610,b'2666203',59136,59131.5,59136.41966666666,0,15.952502250671388,16.088932037353516,16.294050216674805,4.9196666666612145,-0.13642978668212713,0.3415479660034162,1
18963,b'3773155',59134,59127.387,59134.10966666666,0,14.709128379821776,15.172161102294922,14.977405548095703,6.722666666661098,-0.4630327224731463,0.26827716827392756,1
9917,b'2438709',59338,59324.25,59338.27,0,14.03785228729248,14.41662311553955,13.995226860046388,14.019999999996799,-0.3787708282470703,-0.042625427246091974,1
23567,b'4404919',59226,59215.49,59226.63,0,18.33492660522461,19.049087524414062,18.462373733520508,11.139999999999418,-0.7141609191894531,0.12744712829589844,4
21577,b'4132283',58975,58971.22,58975.42,0,18.289440155029297,18.48701286315918,18.20893096923828,4.19999999999709,-0.1975727081298828,-0.08050918579101562,2
5528,b'1844602',59337,59333.32,59337.27,0,15.12875747680664,15.397087097167969,15.181793212890623,3.9499999999970896,-0.2683296203613281,0.0530357360839826,1
17723,b'3613104',59148,59143.37,59148.53,0,15.962592124938965,16.15814208984375,16.061279296875,5.1599999999962165,-0.19554996490478516,0.09868717193603516,1
3472,b'1543053',59313,59309.188,59313.3362,0,15.269203186035156,15.544057846069336,15.188678741455078,4.148199999995995,-0.2748546600341797,-0.08052444458007812,2
23780,b'4425535',59353,59351.32,59353.35,0,19.013898849487305,18.407045364379883,18.59601211547852,2.029999999998836,0.6068534851074219,-0.4178867340087855,2
22523,b'4277318',59226,59225.47,59226.63,0,20.511913299560547,20.657371520996094,20.56429672241211,1.1599999999962165,-0.14545822143554688,0.0523834228515625,1
1533,b'1238054',59343,59331.29,59343.2434,0,14.125800132751465,14.559880256652832,13.916257858276367,11.95339999999851,-0.4340801239013672,-0.20954227447509766,2
18964,b'3773155',59135,59127.387,59135.42,0,14.72609519958496,15.16899585723877,15.102787971496582,8.032999999995809,-0.44290065765381037,0.37669277191162287,1
18784,b'3752898',59358,59345.25,59358.30783333333,0,14.662593841552734,15.02410888671875,14.648509979248049,13.057833333332383,-0.3615150451660156,-0.014083862304685724,1
589,b'1089541',59345,59337.27,59345.2365,0,14.783758163452148,15.135259628295898,14.70966911315918,7.96650000000227,-0.35150146484375,-0.07408905029296875,2
9642,b'2401212',59316,59303.344,59316.41,0,14.076186180114746,14.615315437316896,14.203916549682615,13.06600000000617,-0.5391292572021502,0.12773036956786932,4
28108,b'5050134',59027,59014.203,59027.27,0,19.728404998779297,20.04771423339844,20.227031707763672,13.06699999999546,-0.3193092346191442,0.498626708984375,1
14360,b'3040912',59319,59314.29,59319.2475,0,16.650712966918945,16.822784423828125,16.779891967773438,4.957499999996799,-0.1720714569091797,0.1291790008544922,1
17669,b'3610070',59220,59215.49,59220.63,0,18.382869720458984,18.973167419433597,18.646995544433597,5.139999999999418,-0.5902976989746129,0.2641258239746129,1
588,b'1089541',59343,59337.27,59343.24025,0,15.226202011108398,15.52921199798584,15.143749237060549,5.970250000005763,-0.3030099868774414,-0.08245277404784979,2
2269,b'1350238',59162,59157.46,59162.46,0,15.725194931030272,15.978727340698242,15.64815902709961,5.0,-0.2535324096679705,-0.07703590393066229,2
11032,b'2596863',59230,59219.44,59230.1705,0,18.228988647460938,18.44438934326172,18.20391845703125,10.730499999997846,-0.21540069580078125,-0.0250701904296875,2
6645,b'1969699',59129,59127.387,59129.43659999999,0,16.7763729095459,16.93209457397461,16.804790496826172,2.0495999999911874,-0.15572166442871094,0.028417587280273438,1
17581,b'3585031',58937,58937.387,58937.5252,0,17.289085388183594,17.489261627197266,17.299026489257812,0.13819999999395804,-0.20017623901367188,0.00994110107421875,1
4301,b'1666284',59321,59314.29,59321.25,0,15.799041748046877,16.084197998046875,15.829734802246094,6.959999999999127,-0.2851562499999982,0.030693054199216974,1
6040,b'1897208',59347,59332.3,59347.26,0,14.084831237792969,14.468704223632812,14.004526138305664,14.959999999999127,-0.38387298583984375,-0.08030509948730469,2
11385,b'2644887',59315,59303.344,59315.23666666666,0,14.422739028930664,14.988702774047852,14.558392524719238,11.892666666659352,-0.5659637451171875,0.13565349578857422,4
15844,b'3298110',59313,59308.258,59313.3362,0,17.506591796875,17.65064239501953,17.768531799316406,5.078199999996286,-0.14405059814453125,0.26194000244140625,1
12266,b'2749328',59320,59305.29,59320.2476,0,14.3404541015625,15.021492004394531,14.331660270690918,14.957600000001548,-0.6810379028320312,-0.008793830871582031,4
7017,b'2029372',59316,59305.285,59316.41,0,14.145331382751465,14.733033180236816,14.126480102539062,11.125,-0.5877017974853516,-0.018851280212402344,4
22084,b'4224521',59348,59335.41,59348.2745,0,16.206398010253906,16.444395065307617,16.13988494873047,12.864499999996042,-0.23799705505371094,-0.0665130615234375,2
30196,b'749527',59317,59307.164,59317.230200000005,0,14.29195499420166,14.600175857543944,14.206198692321776,10.066200000008394,-0.3082208633422834,-0.08575630187988459,2
1746,b'127410',59316,59305.285,59316.41,0,14.580459594726562,15.1652250289917,14.753963470458984,11.125,-0.5847654342651367,0.17350387573242188,4
25416,b'4696142',59291,59290.324,59291.41,0,18.512598037719727,18.59819602966309,18.55973052978516,1.0860000000029686,-0.08559799194336293,0.04713249206543324,1
23983,b'4454991',59320,59312.383,59320.2476,0,14.935341835021973,15.039989471435549,15.114652633666992,7.864600000000792,-0.104647636413576,0.17931079864501953,1
19933,b'3900348',59317,59309.188,59317.230200000005,0,14.42951774597168,14.731130599975586,14.39766788482666,8.042200000003504,-0.30161285400390625,-0.03184986114501953,2
10783,b'2566488',58937,58937.387,58937.5252,0,16.873790740966797,17.39215850830078,16.782344818115234,0.13819999999395804,-0.5183677673339844,-0.0914459228515625,4
4829,b'1741554',59229,59218.11,59229.23,0,14.108003616333008,14.469419479370115,13.948922157287598,11.12000000000262,-0.3614158630371076,-0.15908145904541016,2
31495,b'939991',59216,59212.33,59216.22333333333,0,15.925249099731444,16.156837463378906,15.884865760803224,3.8933333333261544,-0.2315883636474627,-0.040383338928219104,2
25469,b'4704006',59317,59311.18,59317.230200000005,0,15.012985229492188,15.280489921569824,14.888544082641602,6.050200000005134,-0.2675046920776367,-0.12444114685058594,2
21308,b'410109',59134,59127.387,59134.10966666666,0,14.204462051391602,14.964279174804688,14.107666969299316,6.722666666661098,-0.7598171234130859,-0.09679508209228516,4
1282,b'120030',59333,59328.3,59333.32,0,15.695001602172852,16.007038116455078,15.639177322387695,5.019999999996799,-0.31203651428222656,-0.05582427978515625,2
5475,b'1839239',59344,59331.293,59344.27,0,14.12265968322754,14.514364242553713,14.060882568359377,12.976999999998952,-0.3917045593261719,-0.06177711486816406,2
21139,b'4075052',59142,59127.387,59142.3412,0,14.665861129760742,15.331889152526855,14.829233169555664,14.954200000000128,-0.6660280227661133,0.16337203979492188,4
23566,b'4404919',59222,59215.49,59222.58,0,18.124908447265625,18.750268936157227,18.26478576660156,7.0900000000037835,-0.6253604888916016,0.13987731933593395,4
26355,b'4826721',59164,59158.426,59164.445166666665,0,16.08457374572754,16.360027313232422,16.18561553955078,6.0191666666651145,-0.2754535675048828,0.10104179382324219,1
20255,b'393040',59188,59184.19,59188.295000000006,0,19.46134185791016,18.78216552734375,19.20755386352539,4.105000000003201,0.6791763305664098,-0.2537879943847692,2
9355,b'2351416',59173,59163.37,59173.39,0,14.763089179992676,15.029890060424805,14.718385696411133,10.019999999996799,-0.2668008804321289,-0.04470348358154297,2
17921,b'3640',59157,59156.348,59157.46,0,18.004533767700195,17.86275863647461,18.10803604125977,1.1120000000009895,0.14177513122558594,0.10350227355957387,2
3595,b'1559382',59316,59305.285,59316.41,0,13.817377090454102,14.345726013183594,13.643950462341309,11.125,-0.5283489227294922,-0.17342662811279297,4
27250,b'4937786',59313,59305.29,59313.3362,0,15.060568809509276,15.510272026062012,15.339055061340332,8.046199999997043,-0.44970321655273615,0.27848625183105646,1
26397,b'4837338',59317,59304.156,59317.230200000005,0,16.421558380126953,16.785226821899414,16.78815269470215,13.074200000002747,-0.36366844177246094,0.3665943145751953,1
11660,b'2675839',59134,59127.387,59134.10966666666,0,15.029129981994627,15.262948989868164,15.033769607543944,6.722666666661098,-0.23381900787353693,0.004639625549316406,1
1442,b'1223750',59338,59333.32,59338.27,0,15.774060249328612,15.890830993652344,15.925966262817385,4.94999999999709,-0.11677074432373225,0.15190601348877308,1
7877,b'2165816',59320,59305.29,59320.2476,0,13.897446632385254,14.595273971557615,13.87905216217041,14.957600000001548,-0.6978273391723615,-0.01839447021484375,4
13394,b'2898659',59318,59311.18,59318.2475,0,15.124801635742188,15.301813125610352,15.262353897094728,7.067499999997381,-0.17701148986816406,0.13755226135254084,1
23318,b'4363807',59377,59365.27,59377.27,0,14.179314613342283,14.534393310546877,14.005712509155272,12.0,-0.3550786972045934,-0.17360210418701172,2
24156,b'4488048',59129,59127.387,59129.43659999999,0,14.231698989868164,14.90310287475586,14.305087089538574,2.0495999999911874,-0.6714038848876953,0.07338809967041016,4
11030,b'2596863',59226,59219.44,59226.63,0,18.672971725463867,18.832107543945312,18.70670318603516,7.189999999995052,-0.1591358184814453,0.033731460571292615,1
