,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
341,b'1044940',59344,59335.41,59344.27,0,15.176671981811523,15.331659317016602,15.440264701843262,8.859999999993306,-0.15498733520507812,0.2635927200317383,-1
31228,b'899329',59315,59312.38,59315.23666666666,0,16.994220733642578,17.06070899963379,17.135181427001953,2.8566666666592937,-0.06648826599121094,0.140960693359375,-1
11047,b'2598527',59364,59353.35,59364.26,0,16.585941314697266,16.77191162109375,16.605714797973633,10.910000000003492,-0.18597030639648438,0.019773483276367188,2
16987,b'3489431',59401,59401.21,59401.27025,0,20.175657272338867,20.403366088867188,20.01353454589844,0.0602500000022701,-0.2277088165283203,-0.16212272644042613,-1
27013,b'4917511',59229,59222.26,59229.23,0,15.591717720031738,15.805596351623535,15.84268569946289,6.970000000001164,-0.21387863159179688,0.25096797943115234,-1
18803,b'375305',59191,59178.17,59191.3925,0,14.06314754486084,14.41130828857422,13.864694595336914,13.222500000003492,-0.3481607437133807,-0.19845294952392578,-1
22493,b'4273676',59318,59304.156,59318.2475,0,16.640987396240234,17.09490966796875,17.260526657104492,14.091499999994994,-0.4539222717285156,0.6195392608642578,-1
19669,b'3874130',59164,59157.457,59164.445166666665,0,15.222476959228516,15.470653533935549,15.206159591674805,6.988166666662437,-0.24817657470703303,-0.016317367553710938,-1
21338,b'4102791',59328,59328.188,59328.26666666667,0,19.303810119628903,19.445913314819336,20.096284866333008,0.07866666666814126,-0.14210319519043324,0.7924747467041051,-1
11045,b'2598527',59362,59353.35,59362.345,0,16.834333419799805,16.926254272460938,16.90635871887207,8.99500000000262,-0.09192085266113281,0.07202529907226562,-1
20973,b'4060270',59136,59127.387,59136.41966666666,0,14.930739402770996,15.384669303894045,15.309087753295898,9.03266666665877,-0.45392990112304865,0.37834835052490234,-1
29640,b'687379',59228,59215.49,59228.662500000006,0,17.93865966796875,18.312286376953125,17.863182067871094,13.172500000007858,-0.373626708984375,-0.07547760009765625,-1
23661,b'4410355',59164,59154.223,59164.445166666665,0,14.908075332641602,15.018308639526367,15.175286293029783,10.222166666666453,-0.11023330688476562,0.2672109603881818,-1
23439,b'438567',59318,59304.156,59318.2475,0,16.074691772460938,16.657711029052734,16.2128963470459,14.091499999994994,-0.5830192565917969,0.13820457458496094,-1
