,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
12135,b'2736606',59328,59324.184,59328.277,1,18.226757049560547,18.49789047241211,17.910995483398438,4.093000000000757,-0.2711334228515625,-0.3157615661621094,-1
11298,b'2637604',59342,59331.29,59342.26,1,15.921034812927246,15.827441215515137,15.975177764892578,10.970000000001164,0.09359359741210938,0.05414295196533203,-1
4619,b'1707158',59320,59305.29,59320.2476,1,16.27814483642578,16.175111770629883,16.681360244750977,14.957600000001548,0.10303306579589844,0.4032154083251953,-1
28749,b'586730',59315,59305.285,59315.23666666666,1,16.30084991455078,16.462993621826172,16.352928161621094,9.951666666653182,-0.16214370727539062,0.0520782470703125,-1
31782,b'995600',59291,59280.3,59291.41,1,20.40288734436035,20.277217864990234,20.645570755004883,11.110000000000582,0.1256694793701172,0.24268341064453125,-1
17655,b'3609290',59134,59127.387,59134.10966666666,1,15.151575088500977,15.281847953796388,15.138221740722656,6.722666666661098,-0.13027286529541193,-0.013353347778320312,4
3157,b'1492174',59138,59127.387,59138.380833333336,1,15.850101470947266,15.78462028503418,16.050973892211914,10.993833333333896,0.06548118591308594,0.20087242126464844,-1
14794,b'3110154',59255,59246.23,59255.23,1,20.14358901977539,20.15808868408203,20.09697914123535,9.0,-0.014499664306640625,-0.04660987854003906,-1
12999,b'2827087',59363,59362.34,59363.313833333326,1,19.793258666992188,19.76279067993164,19.56494140625,0.9738333333298215,0.030467987060546875,-0.2283172607421875,-1
12550,b'2776108',59148,59148.53,59148.53,1,18.238021850585938,18.33929443359375,18.16518211364746,0.0,-0.1012725830078125,-0.07283973693847656,-1
8978,b'2311990',59343,59332.3,59343.243166666674,1,17.126346588134766,17.23379135131836,17.18038558959961,10.943166666671459,-0.10744476318359375,0.05403900146484375,-1
20121,b'3920819',59353,59349.32,59353.35,1,17.23882484436035,17.412979125976562,16.93427848815918,4.029999999998836,-0.17415428161621094,-0.3045463562011719,-1
448,b'1069271',59132,59132.55,59132.55,1,17.069671630859375,17.273120880126953,16.986770629882812,0.0,-0.20344924926757812,-0.0829010009765625,-1
28513,b'5362',59231,59219.44,59231.4725,1,20.383590698242188,20.35198211669922,20.41157913208008,12.032500000001164,0.03160858154296875,0.027988433837894178,-1
16441,b'3401821',59319,59317.18,59319.2475,1,16.41303253173828,16.597583770751953,16.32088279724121,2.0674999999973807,-0.18455123901367188,-0.09214973449707031,-1
30311,b'767366',59342,59337.27,59342.26,1,20.90292739868164,20.053878784179688,21.73719596862793,4.990000000005239,0.8490486145019531,0.8342685699462891,-1
3310,b'1513741',59142,59134.01,59142.3412,1,16.098548889160156,16.062023162841797,16.006183624267578,8.331200000000536,0.036525726318359375,-0.09236526489257812,-1
6609,b'1966934',59027,59014.203,59027.27,1,19.310991287231445,18.775680541992188,19.283842086791992,13.06699999999546,0.5353107452392578,-0.027149200439453125,-1
27201,b'4932949',58937,58937.387,58937.5165,1,21.129615783691406,21.04686737060547,20.83940887451172,0.1294999999954598,0.0827484130859375,-0.2902069091796875,-1
31265,b'907595',59138,59138.324,59138.380833333336,1,18.86145401000977,18.87364387512207,18.51224899291992,0.05683333333581686,-0.012189865112301135,-0.34920501708985086,-1
9608,b'2399510',59267,59255.23,59267.23,1,17.115222930908203,17.215164184570312,17.03505516052246,12.0,-0.09994125366210938,-0.08016777038574219,-1
2025,b'1307664',59144,59135.426,59144.4074,1,16.030559539794922,16.07044792175293,15.941046714782717,8.981399999996938,-0.03988838195800781,-0.08951282501220525,-1
19990,b'3906481',59314,59305.285,59314.29,1,16.240554809570312,16.137231826782227,16.4624080657959,9.00499999999738,0.10332298278808594,0.22185325622558594,-1
17352,b'3540332',59027,59020.2,59027.27,1,19.419740676879883,19.38654518127441,19.9390926361084,7.069999999999709,0.0331954956054723,0.5193519592285156,-1
12744,b'2786206',59319,59316.41,59319.2475,1,17.945110321044922,18.01260757446289,17.683025360107422,2.8374999999941792,-0.06749725341796875,-0.2620849609375,-1
13769,b'2949206',59316,59307.16,59316.41,1,16.323122024536133,16.315380096435547,16.225067138671875,9.25,0.0077419281005859375,-0.09805488586425781,-1
29431,b'663337',58975,58974.203,58975.42,1,20.137245178222656,20.18622398376465,19.80958366394043,1.216999999996915,-0.04897880554199219,-0.32766151428222656,-1
19787,b'3883133',59353,59341.18,59353.35,1,16.78575897216797,16.971837997436523,16.827499389648438,12.169999999998254,-0.1860790252685547,0.04174041748046875,1
25713,b'4740871',59320,59319.24,59320.2476,1,17.545185089111328,17.623394012451172,17.192127227783203,1.0076000000044587,-0.07820892333984375,-0.353057861328125,-1
12448,b'2762361',59313,59305.29,59313.3362,1,15.68004035949707,15.624598503112791,15.595382690429688,8.046199999997043,0.05544185638427912,-0.08465766906738281,3
31344,b'916013',59359,59357.31,59359.29,1,19.500751495361328,19.54516220092773,19.296056747436523,1.9800000000032014,-0.0444107055664027,-0.2046947479248047,-1
6614,b'1966972',59362,59353.19,59362.345,1,18.78836441040039,18.609882354736328,18.958396911621094,9.154999999998836,0.1784820556640625,0.17003250122070312,-1
17757,b'3618038',59317,59305.29,59317.230200000005,1,16.94397735595703,16.905319213867188,17.13088607788086,11.940200000004552,0.03865814208984375,0.18690872192382812,-1
8154,b'2198101',59183,59173.39,59183.39,1,15.935193061828612,16.068361282348633,15.889235496520996,10.0,-0.1331682205200213,-0.04595756530761541,-1
