,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
20777,b'4036959',59320,59318.24,59320.265,0,18.81793975830078,18.940479278564453,18.68984603881836,2.025000000001455,-0.12253952026367188,-0.12809371948242188,-1
4181,b'1635934',59318,59316.41,59318.2475,0,17.78885269165039,17.78634262084961,17.770305633544922,1.8374999999941792,0.00251007080078125,-0.01854705810546875,0
29430,b'662527',59345,59333.32,59345.2365,0,14.178299903869627,14.55875015258789,14.027419090270996,11.91649999999936,-0.3804502487182635,-0.15088081359863104,-1
1563,b'1243710',59158,59143.38,59158.3555,0,14.276086807250977,14.657893180847168,14.237014770507812,14.975500000000466,-0.3818063735961914,-0.03907203674316406,-1
19354,b'3818015',59350,59342.26,59350.347400000006,0,14.96475315093994,15.256794929504396,15.019645690917969,8.087400000003981,-0.2920417785644567,0.05489253997802912,-1
14227,b'3018157',58985,58980.25,58985.26,0,20.88609313964844,21.623615264892575,21.477462768554688,5.010000000002037,-0.7375221252441335,0.5913696289062464,-1
28978,b'612640',59195,59193.184,59195.27033333333,0,17.370176315307617,17.511512756347656,17.325252532958984,2.086333333325456,-0.14133644104003906,-0.04492378234863281,-1
13761,b'2947968',59230,59215.49,59230.1705,0,19.07379150390625,19.440568923950195,19.74090003967285,14.680500000002212,-0.3667774200439453,0.6671085357666016,-1
5018,b'1774269',59172,59166.4,59172.39,0,15.637212753295898,15.853174209594728,15.594860076904297,5.989999999997963,-0.2159614562988299,-0.04235267639160156,3
30785,b'829176',59356,59342.26,59356.3075,0,14.423677444458008,14.87069034576416,14.42788314819336,14.047500000000582,-0.44701290130615234,0.0042057037353515625,4
9644,b'2401212',59318,59303.344,59318.2475,0,14.053153038024902,14.614103317260742,14.205259323120115,14.90350000000035,-0.5609502792358398,0.15210628509521307,-1
30775,b'829176',59344,59342.26,59344.27,0,16.583288192749023,16.724193572998047,16.799922943115234,2.0099999999947613,-0.14090538024902344,0.21663475036621094,1
