,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
18184,b'3670391',59313,59307.164,59313.3362,2,15.467148780822754,15.827731132507324,15.328781127929688,6.172200000000885,-0.3605823516845703,-0.1383676528930664,-1
19753,b'3882112',59316,59312.38,59316.41,2,16.162015914916992,16.266902923583984,16.05674934387207,4.030000000006112,-0.10488700866699219,-0.10526657104492188,-1
24005,b'4457359',59333,59327.25,59333.32,2,14.0108003616333,14.251242637634276,14.318946838378906,6.069999999999709,-0.2404422760009748,0.30814647674560547,3
19832,b'3889135',59372,59361.223,59372.265,2,15.999183654785156,16.006866455078125,16.188716888427734,11.04200000000128,-0.00768280029296875,0.18953323364257812,-1
13010,b'2827242',59338,59331.29,59338.27,2,14.998116493225098,15.4083251953125,14.521677017211914,6.9799999999959255,-0.41020870208740234,-0.4764394760131836,-1
21957,b'4204180',59353,59350.258,59353.35,2,16.161325454711914,16.27297592163086,16.138957977294922,3.091999999996915,-0.11165046691894531,-0.022367477416992188,-1
25242,b'4668224',59195,59194.33,59195.27033333333,2,18.540475845336918,18.74259757995605,19.063257217407227,0.9403333333248156,-0.20212173461913352,0.522781372070309,-1
7792,b'2150958',59335,59324.184,59335.41,2,18.45623588562012,18.5966739654541,18.44172096252441,11.226000000002387,-0.14043807983398082,-0.01451492309571023,2
15791,b'3296325',59333,59327.25,59333.32,2,18.054981231689453,18.270761489868164,17.983436584472656,6.069999999999709,-0.21578025817871094,-0.07154464721679688,-1
3902,b'1599051',58975,58968.297,58975.42,2,17.10007095336914,16.85199737548828,17.893688201904297,7.1229999999995925,0.24807357788085938,0.7936172485351562,-1
18312,b'3684916',59344,59341.176,59344.27,2,16.049694061279297,16.17499542236328,16.349796295166016,3.0939999999973224,-0.12530136108398438,0.30010223388671875,-1
18604,b'3724232',59363,59356.3,59363.31,2,16.44338607788086,16.463268280029297,16.574167251586914,7.009999999994761,-0.0198822021484375,0.1307811737060547,-1
8714,b'227849',59132,59127.387,59132.55,2,15.897842407226562,15.975414276123049,15.956398010253906,5.163000000000466,-0.07757186889648615,0.05855560302734375,-1
30102,b'744199',59132,59129.52,59132.55,2,17.149747848510742,17.342287063598633,18.0888671875,3.030000000006112,-0.19253921508789062,0.9391193389892578,-1
30381,b'774120',59192,59182.36,59192.37,2,14.16125202178955,14.372116088867188,14.221565246582031,10.010000000002037,-0.21086406707763672,0.06031322479248047,3
30042,b'731201',59361,59348.25,59361.29383333333,2,14.991673469543455,15.168466567993164,15.23040771484375,13.04383333332953,-0.1767930984497088,0.23873424530029475,0
8620,b'2268835',59317,59304.156,59317.230200000005,2,15.333399772644045,15.437158584594728,15.90084171295166,13.074200000002747,-0.1037588119506836,0.5674419403076154,-1
4422,b'1685406',59135,59129.266,59135.42,2,16.626998901367188,17.055221557617188,16.16001319885254,6.153999999994994,-0.42822265625,-0.46698570251464844,-1
18607,b'3724232',59366,59356.3,59366.27,2,16.1195011138916,16.147502899169922,16.325796127319336,9.969999999993888,-0.028001785278320312,0.20629501342773438,-1
5632,b'1857292',59319,59315.25,59319.2475,2,15.235528945922852,15.444836616516112,14.99783992767334,3.9974999999976717,-0.20930767059325994,-0.23768901824951172,-1
