,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
21134,b'4075052',59135,59127.387,59135.42,0,14.253828048706056,14.859724044799805,14.4716157913208,8.032999999995809,-0.6058959960937482,0.21778774261474432,-1
24776,b'4592244',59163,59158.2,59163.37,0,15.527856826782228,15.807544708251951,15.36952781677246,5.17000000000553,-0.279687881469723,-0.15832901000976918,-1
7834,b'2158338',59313,59303.344,59313.3362,0,14.303852081298828,14.665655136108398,14.213518142700195,9.992200000000594,-0.3618030548095703,-0.09033393859863281,-1
12404,b'2761121',59166,59158.43,59166.4,0,16.048171997070312,16.198158264160156,16.523967742919922,7.970000000001164,-0.14998626708984375,0.4757957458496094,-1
22266,b'4248073',59374,59363.26,59374.2675,0,16.49532699584961,16.712900161743164,16.481260299682617,11.007499999999709,-0.2175731658935547,-0.014066696166992188,-1
3235,b'1507914',59342,59341.203,59342.26,0,20.020713806152344,19.9436149597168,20.430747985839844,1.0570000000006985,0.07709884643554332,0.4100341796875,-1
11047,b'2598527',59364,59353.35,59364.26,0,16.585941314697266,16.77191162109375,16.605714797973633,10.910000000003492,-0.18597030639648438,0.019773483276367188,-1
21599,b'4136810',59314,59305.285,59314.29,0,14.751826286315918,15.319662094116213,14.82472324371338,9.00499999999738,-0.5678358078002947,0.07289695739746271,-1
7871,b'2165816',59314,59305.285,59314.29,0,13.96208667755127,14.41370964050293,13.864909172058104,9.00499999999738,-0.45162296295166016,-0.09717750549316584,-1
17363,b'354135',59372,59367.26,59372.265,0,15.873062133789062,16.167177200317383,15.713706016540527,5.004999999997381,-0.2941150665283203,-0.15935611724853516,-1
11821,b'2703848',59312,59305.285,59312.38,0,14.798287391662598,15.302382469177246,15.01056671142578,7.094999999993888,-0.5040950775146484,0.21227931976318182,-1
16687,b'343943',59132,59127.387,59132.55,0,13.87062931060791,14.427032470703123,13.716845512390137,5.163000000000466,-0.5564031600952131,-0.15378379821777344,-1
17780,b'3620083',59225,59212.33,59225.28,0,14.203889846801758,14.571422576904297,14.06761360168457,12.94999999999709,-0.36753273010253906,-0.1362762451171875,-1
6654,b'1969699',59142,59127.387,59142.3412,0,14.231639862060549,14.675252914428713,14.151788711547852,14.954200000000128,-0.44361305236816406,-0.07985115051269709,-1
11340,b'2639519',59139,59127.387,59139.38,0,14.428089141845703,15.076838493347168,14.38381004333496,11.992999999994936,-0.6487493515014648,-0.044279098510743964,0
31146,b'891178',59320,59318.24,59320.265,0,18.063295364379883,18.03563690185547,17.984834671020508,2.025000000001455,0.027658462524414062,-0.078460693359375,-1
18821,b'3753662',59134,59127.387,59134.10966666666,0,14.5709810256958,15.161751747131348,14.645615577697754,6.722666666661098,-0.5907707214355469,0.07463455200195312,-1
2096,b'1325189',59291,59290.324,59291.41,0,18.713546752929688,18.85505104064941,18.479816436767575,1.0860000000029686,-0.141504287719723,-0.23373031616211293,-1
15865,b'3300044',59324,59314.234,59324.232833333335,0,16.716814041137695,16.91263198852539,16.70999526977539,9.998833333338553,-0.1958179473876953,-0.0068187713623046875,-1
28022,b'5034852',59353,59343.25,59353.305,0,16.743026733398438,16.839153289794922,16.95177459716797,10.055000000000291,-0.09612655639648438,0.20874786376953125,-1
25465,b'4704006',59313,59311.18,59313.3362,0,16.454986572265625,16.631254196166992,16.281169891357422,2.156199999997625,-0.1762676239013672,-0.17381668090820312,-1
21602,b'4136810',59317,59305.29,59317.230200000005,0,14.963266372680664,15.476057052612305,15.091209411621094,11.940200000004552,-0.5127906799316406,0.1279430389404297,-1
2437,b'1374680',58975,58962.34,58975.42,0,20.12329864501953,20.11918830871582,21.39688491821289,13.080000000001746,0.0041103363037109375,1.2735862731933594,-1
25488,b'470735',59314,59305.285,59314.29,0,15.106388092041016,15.406813621520996,15.790609359741213,9.00499999999738,-0.30042552947998047,0.6842212677001971,-1
8370,b'2226539',59357,59353.35,59357.31,0,17.62384033203125,17.87937355041504,17.59437370300293,3.959999999999127,-0.25553321838378906,-0.029466629028320312,-1
23569,b'4404919',59230,59215.49,59230.1705,0,18.50841522216797,19.264923095703125,18.7923583984375,14.680500000002212,-0.7565078735351562,0.28394317626953125,-1
16469,b'3403744',59220,59219.44,59220.63,0,19.98328399658203,20.0861759185791,20.035945892333984,1.1899999999950523,-0.10289192199707031,0.052661895751953125,-1
28535,b'548785',59132,59127.387,59132.55,0,14.649330139160156,15.2734956741333,14.653449058532717,5.163000000000466,-0.6241655349731445,0.00411891937256037,0
21311,b'410109',59138,59127.387,59138.380833333336,0,14.50893497467041,15.304327011108398,14.386157989501951,10.993833333333896,-0.7953920364379883,-0.12277698516845881,-1
23428,b'4383551',59313,59303.344,59313.3362,0,14.233354568481444,14.568365097045898,14.126118659973145,9.992200000000594,-0.3350105285644549,-0.107235908508299,-1
21245,b'4091395',59343,59331.29,59343.2434,0,14.324224472045898,14.653958320617676,14.296494483947754,11.95339999999851,-0.32973384857177734,-0.02772998809814453,-1
31629,b'967369',59313,59309.188,59313.3362,0,17.774211883544922,17.922847747802734,17.79203987121582,4.148199999995995,-0.1486358642578125,0.017827987670898438,-1
16987,b'3489431',59401,59401.21,59401.27025,0,20.175657272338867,20.403366088867188,20.01353454589844,0.0602500000022701,-0.2277088165283203,-0.16212272644042613,-1
14236,b'3021608',59252,59243.22,59252.2152,0,14.556703567504885,14.997848510742188,14.54507064819336,8.995199999997567,-0.4411449432373029,-0.011632919311525214,-1
5927,b'188220',59191,59182.36,59191.3925,0,14.36202907562256,14.658451080322266,14.340697288513184,9.032500000001164,-0.29642200469970525,-0.021331787109376776,-1
22344,b'425651',59139,59127.387,59139.38,0,14.50141429901123,14.723487854003906,14.56473159790039,11.992999999994936,-0.22207355499267578,0.06331729888916016,-1
170,b'1027263',59328,59318.25,59328.26666666667,0,16.082155227661133,16.374629974365234,15.975543022155762,10.016666666670062,-0.29247474670410156,-0.1066122055053711,-1
1527,b'1238054',59333,59331.29,59333.32,0,17.372528076171875,17.502819061279297,17.104808807373047,2.029999999998836,-0.13029098510742188,-0.2677192687988281,-1
13759,b'2947968',59226,59215.49,59226.63,0,18.92896842956543,19.31119537353516,19.4000244140625,11.139999999999418,-0.3822269439697301,0.4710559844970703,-1
24973,b'4628096',59400,59389.27,59400.27,0,14.320396423339844,14.612956047058104,14.335262298583984,11.0,-0.29255962371825994,0.014865875244140625,-1
6638,b'1969558',59320,59306.258,59320.265,0,16.24422836303711,16.67875862121582,16.305025100708008,14.006999999997788,-0.43453025817871094,0.06079673767089844,-1
2285,b'1350652',59229,59218.11,59229.23,0,14.225665092468262,14.58896255493164,14.157090187072754,11.12000000000262,-0.3632974624633789,-0.06857490539550781,-1
10974,b'2591592',59135,59127.387,59135.42,0,14.31143569946289,14.71078109741211,14.18936824798584,8.032999999995809,-0.39934539794921875,-0.12206745147705078,-1
26003,b'4779208',58975,58963.348,58975.42,0,19.06531524658203,19.344459533691406,18.97186088562012,12.072000000000116,-0.279144287109375,-0.09345436096191051,-1
21273,b'4094459',59161,59156.348,59161.44,0,15.146717071533203,15.30331802368164,15.40941333770752,5.092000000004191,-0.1566009521484375,0.2626962661743164,-1
20990,b'4060706',59166,59160.44,59166.4,0,15.246649742126465,15.52621364593506,15.23003101348877,5.959999999999127,-0.2795639038085955,-0.016618728637695312,-1
11282,b'2633140',58975,58968.297,58975.42,0,17.880126953125,18.492111206054688,18.074546813964844,7.1229999999995925,-0.6119842529296875,0.19441986083984375,-1
3998,b'1604779',59225,59222.246,59225.28,0,16.536603927612305,16.63161849975586,16.508426666259766,3.0339999999996508,-0.09501457214355469,-0.028177261352539062,-1
23663,b'4410355',59167,59154.223,59167.37866666666,0,14.778640747070312,15.037437438964844,15.054632186889648,13.155666666658362,-0.25879669189453125,0.27599143981933594,-1
1441,b'1223750',59337,59333.32,59337.27,0,16.085002899169922,16.226043701171875,16.262399673461914,3.9499999999970896,-0.14104080200195312,0.1773967742919922,-1
26872,b'4896930',59320,59305.29,59320.2476,0,14.66994285583496,15.314876556396484,14.86340618133545,14.957600000001548,-0.6449337005615252,0.19346332550049006,-1
13859,b'2965933',59364,59350.19,59364.26,0,16.182931900024414,16.652616500854492,16.11495590209961,14.069999999999709,-0.4696846008300781,-0.06797599792480469,-1
22159,b'423488',59348,59338.27,59348.2745,0,16.870403289794922,16.997478485107422,16.975614547729492,10.004500000002736,-0.1270751953125,0.10521125793457031,-1
4835,b'1742438',59226,59219.44,59226.63,0,18.632658004760746,18.760852813720703,18.596176147460938,7.189999999995052,-0.12819480895995738,-0.03648185729980824,-1
30777,b'829176',59346,59342.26,59346.28,0,15.788269996643066,16.01302719116211,15.996723175048828,4.019999999996799,-0.22475719451904297,0.20845317840576172,-1
11705,b'2681325',59129,59127.387,59129.43659999999,0,14.40406894683838,14.69350814819336,14.409028053283691,2.0495999999911874,-0.2894392013549787,0.004959106445310724,-1
7378,b'2081761',59364,59362.34,59364.26,0,19.120546340942383,19.2640323638916,19.06844711303711,1.9200000000055297,-0.14348602294921875,-0.05209922790527344,-1
18962,b'3773155',59132,59127.387,59132.55,0,14.658740997314451,15.229973793029783,14.836541175842283,5.163000000000466,-0.571232795715332,0.17780017852783203,-1
18105,b'3660834',59346,59331.29,59346.28,0,13.713736534118652,14.146631240844728,13.482845306396484,14.989999999997963,-0.432894706726076,-0.23089122772216797,-1
25165,b'4655570',59346,59334.2,59346.28,0,16.197458267211914,16.51997947692871,16.08528709411621,12.080000000001746,-0.3225212097167969,-0.11217117309570312,-1
19971,b'3906254',59139,59135.42,59139.38,0,16.493404388427734,16.68655014038086,16.327823638916016,3.959999999999127,-0.193145751953125,-0.16558074951171875,-1
22961,b'4329888',59131,59131.438,59131.4874,0,20.043991088867188,18.966049194335938,19.551513671875,0.049399999996239785,1.07794189453125,-0.4924774169921875,-1
3364,b'1524518',59348,59345.188,59348.2666,0,16.688983917236328,16.90604019165039,16.612525939941406,3.0786000000007334,-0.2170562744140625,-0.07645797729492188,-1
22067,b'4221140',59212,59200.31,59212.33,0,14.162463188171388,14.520841598510742,13.970850944519045,12.020000000004075,-0.3583784103393537,-0.19161224365234375,-1
24714,b'4582954',59252,59243.22,59252.2152,0,14.15102195739746,14.53260612487793,14.106708526611328,8.995199999997567,-0.3815841674804705,-0.044313430786131036,-1
13157,b'2850812',59220,59215.49,59220.63,0,18.925472259521484,19.076282501220703,19.141986846923828,5.139999999999418,-0.15081024169921875,0.21651458740234375,-1
26356,b'4826721',59166,59158.43,59166.4,0,15.417253494262695,15.737935066223145,15.489458084106444,7.970000000001164,-0.3206815719604492,0.07220458984374822,-1
22108,b'4229812',59345,59342.26,59345.23366666667,0,18.69622230529785,18.834697723388672,18.909366607666016,2.97366666666494,-0.1384754180908203,0.21314430236816406,-1
4301,b'1666284',59321,59314.29,59321.25,0,15.799041748046877,16.084197998046875,15.829734802246094,6.959999999999127,-0.2851562499999982,0.030693054199216974,-1
16192,b'3364025',58975,58975.42,58975.420000000006,0,19.837448120117188,20.12562561035156,19.794734954833984,7.275957614183426e-12,-0.28817749023437145,-0.042713165283203125,-1
29414,b'658957',59372,59357.31,59372.265,0,16.24639129638672,16.725440979003906,16.352231979370117,14.955000000001746,-0.4790496826171875,0.10584068298339844,-1
19977,b'3906254',59146,59135.42,59146.33533333333,0,14.490718841552734,14.766332626342772,14.347827911376951,10.915333333330636,-0.2756137847900373,-0.14289093017578303,-1
360,b'1046047',58980,58980.25,58980.25666666668,0,20.93191719055176,20.730863571166992,21.19319725036621,0.006666666682576761,0.20105361938476918,0.2612800598144496,-1
20432,b'397141',58975,58962.34,58975.42,0,19.204998016357425,19.597190856933597,19.29937171936035,13.080000000001746,-0.3921928405761719,0.09437370300292613,-1
23200,b'4361059',59199,59190.39,59199.278,0,14.846673011779783,15.1322660446167,14.823249816894531,8.88799999999901,-0.28559303283691584,-0.02342319488525213,-1
13814,b'2958681',59139,59135.42,59139.38,0,16.559568405151367,16.710731506347656,16.615516662597656,3.959999999999127,-0.15116310119628906,0.05594825744628906,-1
4681,b'1716548',59318,59304.156,59318.2475,0,16.830825805664062,17.382179260253906,17.075511932373047,14.091499999994994,-0.5513534545898438,0.24468612670898438,-1
19978,b'3906254',59147,59135.42,59147.48,0,14.332269668579102,14.623966217041016,14.168147087097168,12.060000000004948,-0.29169654846191406,-0.1641225814819336,-1
