,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
19903,b'3898646',59350,59336.24,59350.347400000006,2,14.56405544281006,14.679656982421877,14.771723747253418,14.107400000008056,-0.1156015396118164,0.2076683044433576,-1
28480,b'531424',59140,59127.387,59140.35716666668,2,16.64324378967285,16.47635269165039,17.26675033569336,12.970166666680598,0.16689109802246094,0.6235065460205078,-1
5980,b'1885707',59194,59184.19,59194.3325,2,15.244213104248049,15.324031829833984,15.300837516784668,10.14249999999447,-0.07981872558593572,0.05662441253661932,-1
2603,b'1408229',59243,59243.22,59243.2275,2,17.772727966308594,17.7392635345459,17.856536865234375,0.007499999999708962,0.03346443176269531,0.08380889892578125,-1
8823,b'2294422',59332,59319.24,59332.3,2,14.538273811340332,14.661659240722656,14.738275527954102,13.060000000004948,-0.12338542938232422,0.20000171661376953,0
8575,b'2257171',59361,59348.26,59361.29383333333,2,16.09774398803711,16.305992126464844,16.440975189208984,13.033833333327493,-0.20824813842773438,0.343231201171875,-1
31300,b'90873',59374,59366.27,59374.2675,2,16.058609008789062,16.131330490112305,16.210132598876953,7.997500000004948,-0.07272148132324219,0.15152359008789062,-1
18189,b'3670391',59319,59307.16,59319.2475,2,14.683295249938965,14.981761932373049,14.813934326171877,12.08749999999418,-0.2984666824340838,0.13063907623291193,-1
13127,b'2846049',59358,59350.26,59358.30783333333,2,17.250293731689453,17.437904357910156,17.171009063720703,8.047833333330345,-0.18761062622070312,-0.07928466796875,-1
27227,b'4936602',59342,59336.23,59342.26,2,18.01299285888672,18.173267364501957,18.008102416992188,6.029999999998836,-0.16027450561523793,-0.00489044189453125,-1
22933,b'4328393',59317,59305.29,59317.230200000005,2,15.478189468383787,15.529128074645996,15.662919044494627,11.940200000004552,-0.05093860626220881,0.18472957611083984,-1
20303,b'3934674',59139,59127.387,59139.38,2,13.881153106689451,13.88359546661377,14.243295669555664,11.992999999994936,-0.0024423599243181826,0.3621425628662127,-1
13924,b'2976346',59315,59305.285,59315.23666666666,2,15.689682960510254,15.61842918395996,16.59543800354004,9.951666666653182,0.07125377655029475,0.9057550430297852,-1
30362,b'77366',59191,59191.39,59191.3925,2,18.1208553314209,17.75902557373047,18.768386840820312,0.0025000000023283064,0.3618297576904297,0.6475315093994141,-1
8628,b'2271047',59313,59303.344,59313.3362,2,13.85495662689209,13.993538856506348,14.074056625366213,9.992200000000594,-0.1385822296142578,0.21909999847412287,0
