SNID,norm_MJD,1stDet,MJD,BAND_r,BAND_i,BAND_g
b'1000052',58967,58943.36,58967.49,17.1500244140625,17.044857025146484,17.512956619262695
b'1000128',59312,59309.188,59312.38,16.388811111450195,16.71626853942871,16.23586654663086
b'1000128',59313,59309.188,59313.3362,16.334646224975586,16.663766860961914,16.2012939453125
b'1000128',59314,59309.188,59314.29,16.31827163696289,16.632835388183594,16.16537094116211
b'1000128',59315,59309.188,59315.236666666664,16.28337287902832,16.59443473815918,16.155986785888672
b'1000128',59316,59309.188,59316.41,16.27469825744629,16.587528228759766,16.139875411987305
b'1000128',59317,59309.188,59317.230200000005,16.248451232910156,16.56781005859375,16.145153045654297
b'1000128',59318,59309.188,59318.2475,16.259260177612305,16.552352905273438,16.15534210205078
b'1000128',59319,59309.188,59319.2475,16.261085510253906,16.54978370666504,16.149829864501953
b'1000128',59320,59309.188,59320.2476,16.24968910217285,16.5299129486084,16.158506393432617
b'1000128',59321,59309.188,59321.25,16.257246017456055,16.49451446533203,16.182064056396484
b'1000128',59322,59309.188,59322.24483333333,16.260848999023438,16.466773986816406,16.193649291992188
b'1000128',59324,59309.188,59324.23416666667,16.237865447998047,16.453824996948242,16.200275421142578
b'1000128',59328,59309.188,59328.277,16.182836532592773,16.391555786132812,16.3342227935791
b'1000128',59332,59309.188,59332.3,16.21075439453125,16.393634796142578,16.47153091430664
b'1000128',59333,59309.188,59333.32,16.20342254638672,16.365596771240234,16.477413177490234
b'1000128',59334,59309.188,59334.32833333333,16.239301681518555,16.384140014648438,16.51066017150879
b'1000128',59335,59309.188,59335.41,16.232725143432617,16.38372802734375,16.517358779907227
b'1000128',59337,59309.188,59337.27,16.245824813842773,16.389652252197266,16.55994415283203
b'1000128',59338,59309.188,59338.27,16.242252349853516,16.38237953186035,16.591794967651367
b'1000925',59315,59315.2,59315.236666666664,19.950220108032227,20.187519073486328,19.99703598022461
b'1000925',59316,59315.2,59316.41,18.84505844116211,19.15056610107422,19.028278350830078
b'1000925',59317,59315.2,59317.230200000005,18.440563201904297,18.631942749023438,18.596538543701172
b'1000925',59318,59315.2,59318.2475,18.00934410095215,18.249191284179688,18.267601013183594
b'1000925',59319,59315.2,59319.2475,17.697242736816406,17.90106201171875,17.9754695892334
b'1000925',59320,59315.2,59320.2476,17.49163055419922,17.689411163330078,17.693603515625
b'1000925',59321,59315.2,59321.25,17.287883758544922,17.462017059326172,17.44156265258789
b'1000925',59322,59315.2,59322.24483333333,17.116687774658203,17.310266494750977,17.244022369384766
b'1000925',59324,59315.2,59324.23416666667,16.870594024658203,17.076770782470703,16.975255966186523
b'1000925',59328,59315.2,59328.277,16.55909538269043,16.753450393676758,16.662185668945312
b'1000925',59332,59315.2,59332.3,16.43563461303711,16.54916000366211,16.64804458618164
b'1000925',59333,59315.2,59333.32,16.43680191040039,16.515235900878906,16.677640914916992
b'1000925',59334,59315.2,59334.32833333333,16.45053482055664,16.505516052246094,16.70758056640625
b'1000925',59335,59315.2,59335.41,16.46131134033203,16.496427536010742,16.79401969909668
b'1000925',59337,59315.2,59337.27,16.511154174804688,16.54405975341797,16.931373596191406
b'1000925',59338,59315.2,59338.27,16.57529067993164,16.604997634887695,17.038497924804688
b'1000925',59342,59315.2,59342.26,16.935144424438477,16.87272071838379,17.5645694732666
b'1000925',59343,59315.2,59343.2434,17.01842498779297,16.924299240112305,17.67833137512207
b'1000925',59344,59315.2,59344.27,17.10623550415039,17.015613555908203,17.78566551208496
b'1001192',59337,59322.26,59337.27,14.037101745605469,14.420456886291504,14.013699531555176
b'1001192',59338,59322.26,59338.27,14.007638931274414,14.43258285522461,13.983905792236328
b'1001192',59343,59322.26,59343.24025,13.96426010131836,14.57403564453125,13.981389045715332
b'1001192',59345,59322.26,59345.2365,13.993191719055176,14.635940551757812,14.049920082092285
b'1001699',58980,58964.168,58980.256666666675,19.905323028564453,19.63526153564453,20.644742965698242
b'1001699',58985,58964.168,58985.26,20.25904655456543,19.91006851196289,21.58936882019043
b'1002293',59348,59348.26,59348.2794,20.769657135009766,21.248430252075195,20.618152618408203
b'1002293',59353,59348.26,59353.305,18.610855102539062,18.625022888183594,18.571298599243164
b'1002293',59354,59348.26,59354.328,18.521623611450195,18.51055335998535,18.542098999023438
b'1002293',59357,59348.26,59357.31,18.401355743408203,18.387407302856445,18.495113372802734
b'1002293',59359,59348.26,59359.29,18.501190185546875,18.32799530029297,18.44567108154297
b'1002293',59362,59348.26,59362.345,18.5479736328125,18.355215072631836,18.507253646850586
b'1002293',59363,59348.26,59363.313833333326,18.526382446289062,18.39603042602539,18.541696548461914
b'1002293',59364,59348.26,59364.26,18.433645248413086,18.36100196838379,18.596698760986328
b'1002293',59367,59348.26,59367.259,18.509353637695312,18.544694900512695,18.705890655517578
b'1002293',59372,59348.26,59372.265,18.6495361328125,18.562162399291992,18.833391189575195
b'1002293',59374,59348.26,59374.2675,18.71257781982422,18.565885543823242,18.923160552978516
b'1002293',59377,59348.26,59377.27,18.732074737548828,18.59885597229004,18.985305786132812
b'1002671',59353,59353.19,59353.305,19.882274627685547,19.916900634765625,19.93478012084961
b'1002671',59354,59353.19,59354.328,19.118499755859375,19.157299041748047,19.000730514526367
b'1002671',59357,59353.19,59357.31,17.7210693359375,17.899188995361328,17.69695281982422
b'1002671',59359,59353.19,59359.29,17.186880111694336,17.339641571044922,17.171916961669922
b'1002671',59362,59353.19,59362.345,16.578594207763672,16.795001983642578,16.565208435058594
b'1002671',59363,59353.19,59363.313833333326,16.424320220947266,16.64833641052246,16.417186737060547
b'1002671',59364,59353.19,59364.26,16.32547378540039,16.547256469726562,16.26317024230957
b'1002671',59367,59353.19,59367.259,16.11686134338379,16.47191619873047,16.069997787475586
b'1002671',59372,59353.19,59372.265,16.04082489013672,16.58320426940918,16.001819610595703
b'1002671',59374,59353.19,59374.2675,16.07748031616211,16.624099731445312,16.102153778076172
b'1002671',59377,59353.19,59377.27,16.163928985595703,16.768421173095703,16.22852325439453
b'1002944',59212,59210.156,59212.33,15.020779609680176,15.297454833984375,14.915909767150879
b'1002944',59216,59210.156,59216.22333333333,14.892000198364258,15.089802742004395,14.883694648742676
b'1002944',59219,59210.156,59219.27,14.923837661743164,15.037370681762695,15.00180721282959
b'1002944',59222,59210.156,59222.257000000005,15.029245376586914,15.16989517211914,15.17466926574707
b'1002944',59225,59210.156,59225.28,15.14295482635498,15.318184852600098,15.305685997009277
b'1002944',59229,59210.156,59229.23,15.223336219787598,15.377854347229004,15.395255088806152
b'1003334',59319,59319.24,59319.2475,18.838855743408203,18.786640167236328,18.372852325439453
b'1003334',59320,59319.24,59320.265,17.616472244262695,17.72184181213379,17.222265243530273
b'1003334',59321,59319.24,59321.25,16.74750518798828,16.81368637084961,16.404605865478516
b'1003334',59322,59319.24,59322.2564,16.186473846435547,16.322174072265625,15.928703308105469
b'1003334',59337,59319.24,59337.27,15.590003967285156,15.508609771728516,15.554681777954102
b'1003334',59338,59319.24,59338.27,15.59624195098877,15.533554077148438,15.596409797668457
b'1003334',59343,59319.24,59343.24025,15.680245399475098,15.65001106262207,15.734169006347656
b'1003334',59345,59319.24,59345.2365,15.719917297363281,15.68513298034668,15.824824333190918
b'1004597',59401,59401.293,59401.29,20.96773338317871,21.31629180908203,21.194276809692383
b'1004597',59404,59401.29,59404.29,21.090116500854492,20.774030685424805,21.218469619750977
b'1005589',58975,58962.34,58975.42,19.669429779052734,20.243101119995117,20.348237991333008
b'1007290',59347,59347.26,59347.26,20.858266830444336,20.682092666625977,20.79302406311035
b'1007290',59348,59347.26,59348.2745,19.875,19.898473739624023,19.686508178710938
b'1007290',59353,59347.26,59353.305,18.277854919433594,18.254039764404297,18.35938262939453
b'1007290',59354,59347.26,59354.328,18.21755599975586,18.139095306396484,18.314435958862305
b'1007290',59357,59347.26,59357.31,18.128036499023438,18.050395965576172,18.351802825927734
b'1007290',59359,59347.26,59359.29,18.18290901184082,18.043590545654297,18.241981506347656
b'1007290',59362,59347.26,59362.345,18.144306182861328,18.02318572998047,18.45914077758789
b'1007290',59363,59347.26,59363.313833333326,18.207763671875,18.149730682373047,18.414684295654297
b'1007290',59364,59347.26,59364.26,18.226207733154297,18.128150939941406,18.507890701293945
b'1007290',59367,59347.26,59367.259,18.195247650146484,18.139575958251953,18.596025466918945
b'1007290',59372,59347.26,59372.265,18.308866500854492,18.131690979003906,18.773466110229492
b'1007290',59374,59347.26,59374.2675,18.23782730102539,18.11212921142578,18.738788604736328
b'1007612',59027,59014.203,59027.27,18.607681274414062,18.80577278137207,19.08696937561035
b'1008007',58975,58962.34,58975.42,19.929519653320312,19.736780166625977,20.147663116455078
b'1008740',59377,59377.27,59377.27,18.081764221191406,18.007152557373047,18.087987899780273
b'1008740',59389,59377.27,59389.27,14.321118354797363,14.679566383361816,14.303875923156738
b'1008740',59394,59377.27,59394.28,14.183517456054688,14.790514945983887,14.210514068603516
b'1008740',59400,59377.27,59400.27,14.392780303955078,15.058260917663574,14.457245826721191
b'1008740',59406,59377.27,59406.27,14.779573440551758,15.427752494812012,14.929729461669922
b'1010223',58967,58956.44,58967.49,15.14370059967041,15.260412216186523,15.137367248535156
b'1012835',58967,58955.27,58967.49,16.506187438964844,16.392656326293945,16.461395263671875
b'1013200',59337,59328.24,59337.27,17.062349319458008,17.29568862915039,17.566669464111328
