,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
457,b'1069271',59144,59132.55,59144.4074,1,16.194297790527344,16.35107421875,16.28356170654297,11.857399999993504,-0.15677642822265625,0.089263916015625,0
11783,b'2699857',59362,59357.31,59362.345,1,18.8078727722168,18.72373962402344,18.43309783935547,5.0350000000034925,0.08413314819335938,-0.3747749328613317,2
13346,b'2894369',59317,59304.156,59317.230200000005,1,17.26626205444336,16.8948917388916,18.284610748291016,13.074200000002747,0.3713703155517578,1.0183486938476562,2
23860,b'4433519',59162,59154.223,59162.46,1,17.492462158203125,17.582191467285156,17.622451782226562,8.23700000000099,-0.08972930908203125,0.1299896240234375,2
26383,b'4832973',59354,59350.19,59354.328,1,17.852558135986328,17.859619140625,17.762744903564453,4.1379999999990105,-0.007061004638671875,-0.089813232421875,2
6942,b'2016449',59230,59217.44,59230.15966666667,1,20.59456825256348,20.221893310546875,20.51432991027832,12.719666666664125,0.3726749420166051,-0.0802383422851598,3
29067,b'626013',59143,59137.38,59143.3775,1,17.213321685791016,17.265605926513672,17.20726203918457,5.997500000004948,-0.05228424072265625,-0.0060596466064453125,2
2431,b'1373983',59198,59190.39,59198.3,1,15.661297798156738,15.554790496826172,15.880512237548828,7.9100000000034925,0.1065073013305664,0.21921443939208984,0
20601,b'3998606',59321,59319.24,59321.25,1,15.879436492919922,15.735090255737305,15.522332191467283,2.0100000000020373,0.1443462371826172,-0.3571043014526385,0
8206,b'2204247',59347,59342.26,59347.26,1,15.50767993927002,15.625242233276367,15.392170906066896,5.0,-0.11756229400634766,-0.11550903320312322,0
9331,b'2348610',59335,59334.2,59335.41,1,19.216352462768555,19.21291923522949,19.012592315673828,1.2100000000064028,0.0034332275390660527,-0.20376014709472656,3
119,b'1019760',59342,59339.223,59342.26,1,20.540246963500977,20.735538482666016,20.29088592529297,3.0370000000039,-0.19529151916503906,-0.2493610382080078,3
26696,b'4872913',59364,59357.31,59364.26,1,17.751962661743164,17.76616096496582,17.701845169067383,6.950000000004366,-0.01419830322265625,-0.05011749267578125,2
20342,b'395148',59134,59127.387,59134.10966666666,1,15.681533813476562,15.670221328735352,15.533838272094728,6.722666666661098,0.011312484741210938,-0.14769554138183416,0
7956,b'218006',59255,59255.23,59255.23,1,20.606599807739254,20.688566207885746,20.58845329284668,0.0,-0.08196640014649148,-0.018146514892574572,3
21005,b'4061109',59412,59400.27,59412.27,1,16.072683334350586,15.967365264892578,16.136425018310547,12.0,0.10531806945800781,0.06374168395996094,0
11357,b'264180',59370,59360.32,59370.28,1,15.705347061157228,15.755746841430664,15.436844825744627,9.959999999999127,-0.050399780273435724,-0.2685022354126012,0
10287,b'2486049',59166,59161.44,59166.4,1,16.067838668823242,16.1225528717041,15.91246223449707,4.959999999999127,-0.054714202880859375,-0.15537643432617188,0
20654,b'4006247',59183,59182.36,59183.39,1,18.672096252441406,18.89579200744629,18.113792419433597,1.0299999999988358,-0.2236957550048828,-0.558303833007809,2
2164,b'1335020',59188,59176.254,59188.295000000006,1,16.135971069335938,16.079498291015625,16.22528076171875,12.041000000004715,0.0564727783203125,0.0893096923828125,0
10202,b'2473923',59322,59317.24,59322.4,1,19.394554138183597,19.46469116210937,19.12343978881836,5.1600000000034925,-0.07013702392577414,-0.2711143493652379,3
26487,b'4841490',59400,59389.27,59400.27,1,15.331467628479004,15.63308811187744,15.261841773986816,11.0,-0.3016204833984357,-0.0696258544921875,0
7243,b'2056305',59374,59373.27,59374.27,1,20.35542297363281,20.82875061035156,19.69597625732422,1.0,-0.47332763671875,-0.6594467163085902,3
18209,b'3671662',59246,59246.23,59246.23,1,19.33357810974121,19.31068229675293,19.207698822021484,0.0,0.02289581298828125,-0.12587928771972656,3
15208,b'31833',59342,59338.27,59342.26,1,17.87366485595703,17.717500686645508,17.56110382080078,3.9900000000052387,0.15616416931152344,-0.31256103515625,2
15238,b'31850',59267,59254.156,59267.23,1,17.052772521972656,17.252609252929688,17.316360473632812,13.074000000000524,-0.19983673095703125,0.26358795166015625,2
13419,b'2902660',59358,59357.31,59358.30783333333,1,17.274572372436523,17.617647171020508,17.292030334472656,0.9978333333347109,-0.3430747985839844,0.017457962036132812,2
30664,b'81885',59356,59351.32,59356.3075,1,16.390254974365234,16.374858856201172,16.284515380859375,4.98750000000291,0.0153961181640625,-0.10573959350585938,0
13561,b'2925324',59146,59144.45,59146.33533333333,1,17.953367233276367,17.941200256347656,17.746295928955078,1.8853333333318005,0.012166976928710938,-0.20707130432128906,2
30438,b'78892',58967,58954.254,58967.49,1,16.20848846435547,16.091712951660156,16.1179256439209,13.235999999997148,0.1167755126953125,-0.09056282043457031,0
16112,b'3352333',59344,59335.41,59344.27,1,17.759281158447266,17.856197357177734,17.75397491455078,8.859999999993306,-0.09691619873046875,-0.005306243896484375,2
31415,b'926978',59367,59359.293,59367.25716666667,1,15.252723693847656,15.22603988647461,14.96259593963623,7.964166666672099,0.026683807373046875,-0.2901277542114258,0
24727,b'458399',59328,59317.176,59328.277,1,15.3910493850708,15.491190910339355,15.12837028503418,11.101000000002387,-0.10014152526855469,-0.2626791000366211,0
18869,b'3756873',58975,58968.297,58975.42,1,18.41853904724121,18.21927261352539,19.01557731628418,7.1229999999995925,0.1992664337158203,0.5970382690429688,2
24808,b'4599307',59316,59303.344,59316.41,1,15.347310066223145,15.198116302490234,15.723084449768066,13.06600000000617,0.14919376373291016,0.3757743835449219,0
26499,b'4846813',59230,59215.49,59230.15966666667,1,20.211713790893555,20.298019409179688,20.627967834472656,14.66966666666849,-0.08630561828613281,0.41625404357910156,3
3941,b'1600905',59322,59309.188,59322.24483333333,1,16.219005584716797,16.114290237426758,16.340476989746094,13.056833333328541,0.10471534729003906,0.12147140502929688,0
1096,b'1165215',59212,59210.156,59212.33,1,15.712265968322754,15.76395034790039,15.542078971862791,2.1739999999990687,-0.05168437957763672,-0.1701869964599627,0
27341,b'4949311',59366,59366.27,59366.27,1,19.92138671875,19.86314010620117,19.52685546875,0.0,0.05824661254883168,-0.39453125,3
19573,b'3861192',59312,59305.285,59312.38,1,15.57676124572754,15.493362426757812,15.605631828308104,7.094999999993888,0.08339881896972834,0.028870582580562854,0
76,b'1003334',59321,59319.24,59321.25,1,16.74750518798828,16.81368637084961,16.404605865478516,2.0100000000020373,-0.06618118286132812,-0.3428993225097656,0
7490,b'2100494',59344,59339.223,59344.27,1,16.620418548583984,16.5705509185791,16.56683921813965,5.046999999998661,0.04986763000488281,-0.05357933044433594,0
24343,b'4521158',59366,59358.27,59366.27,1,16.456104278564453,16.515533447265625,16.367706298828125,8.0,-0.059429168701171875,-0.08839797973632812,0
6016,b'1892851',59185,59178.17,59185.23,1,16.32425308227539,16.373750686645508,16.178804397583008,7.060000000004948,-0.04949760437011719,-0.1454486846923828,0
25899,b'4766374',59357,59354.32,59357.31,1,17.387540817260742,17.491161346435547,17.283689498901367,2.9899999999979627,-0.10362052917480469,-0.103851318359375,2
21163,b'4079965',59027,59014.203,59027.27,1,19.243940353393555,19.350509643554688,19.995895385742188,13.06699999999546,-0.10656929016113281,0.7519550323486328,3
12954,b'2814564',59167,59157.457,59167.37866666666,1,16.001401901245117,16.26197624206543,15.92697048187256,9.921666666654346,-0.2605743408203125,-0.07443141937255682,0
29993,b'72516',59231,59219.445,59231.473,1,19.73379898071289,19.80592918395996,19.630104064941406,12.027999999998428,-0.07213020324707031,-0.10369491577148438,3
13004,b'2827087',59377,59362.34,59377.27,1,17.900543212890625,17.757030487060547,17.94873809814453,14.930000000000291,0.14351272583007812,0.04819488525390625,2
11070,b'2603021',59192,59185.23,59192.37,1,16.37902069091797,16.468374252319336,16.19171142578125,7.139999999999418,-0.08935356140136719,-0.18730926513671875,0
16742,b'3446762',59200,59200.31,59200.31,1,19.26664161682129,19.423301696777344,18.745275497436523,0.0,-0.1566600799560547,-0.5213661193847656,3
18472,b'3707948',59322,59320.176,59322.24483333333,1,15.079468727111816,15.174251556396484,14.763782501220703,2.0688333333309856,-0.09478282928466797,-0.3156862258911133,0
1419,b'1218880',59319,59307.16,59319.2475,1,15.361316680908203,15.269142150878906,15.236581802368164,12.08749999999418,0.09217453002929688,-0.12473487854003906,0
18494,b'3708405',59162,59156.348,59162.46,1,15.995844841003418,16.012893676757812,15.88334846496582,6.1120000000009895,-0.01704883575439453,-0.11249637603759766,0
20685,b'4009968',59291,59290.324,59291.41,1,19.80706787109375,19.900854110717773,19.740278244018555,1.0860000000029686,-0.09378623962402344,-0.06678962707519531,3
1126,b'1166876',59368,59356.31,59368.285,1,16.2276554107666,16.189489364624023,16.069263458251953,11.97500000000582,0.038166046142578125,-0.15839195251464844,0
17495,b'3558441',59347,59341.18,59347.26,1,18.54903030395508,18.46354484558105,18.693471908569336,6.080000000001746,0.08548545837403054,0.14444160461425426,2
25372,b'469140',59333,59331.29,59333.32,1,15.55899143218994,15.838346481323242,15.355795860290527,2.029999999998836,-0.27935504913330256,-0.2031955718994123,0
1614,b'1253876',58975,58975.42,58975.42,1,20.15041732788086,19.915637969970703,19.431236267089844,0.0,0.23477935791015625,-0.7191810607910156,3
4239,b'1651915',59145,59132.55,59145.37,1,16.728858947753906,16.908157348632812,16.96849822998047,12.819999999999709,-0.17929840087890625,0.2396392822265625,0
12999,b'2827087',59363,59362.34,59363.313833333326,1,19.793258666992188,19.76279067993164,19.56494140625,0.9738333333298215,0.030467987060546875,-0.2283172607421875,3
