,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
11986,b'2715812',59258,59252.156,59258.23,1,16.028079986572266,16.013681411743164,15.896202087402344,6.074000000000524,0.014398574829101562,-0.13187789916992188,3
20234,b'3929934',59332,59331.29,59332.3,1,18.70526885986328,18.757720947265625,18.3848934173584,1.0100000000020373,-0.05245208740234375,-0.3203754425048828,0
17887,b'3634172',59243,59232.16,59243.2275,1,18.213809967041016,18.433069229125977,18.17859649658203,11.06749999999738,-0.21925926208496094,-0.035213470458984375,1
6932,b'2014846',59394,59389.27,59394.28,1,16.063804626464844,15.940975189208984,15.799307823181152,5.010000000002037,0.12282943725585938,-0.2644968032836914,3
29814,b'708100',59222,59215.49,59222.58,1,19.27211570739746,19.151241302490234,19.334583282470703,7.0900000000037835,0.12087440490722656,0.06246757507324219,0
29756,b'702538',59230,59220.63,59230.15966666667,1,19.999568939208984,20.750396728515625,19.734561920166016,9.529666666669073,-0.7508277893066406,-0.26500701904296875,4
18559,b'3721557',59328,59327.25,59328.277,1,15.728353500366213,15.802360534667969,15.662324905395508,1.0270000000018626,-0.07400703430175604,-0.0660285949707049,3
21840,b'4181693',59317,59306.258,59317.230200000005,1,19.522018432617188,19.33047866821289,19.24190902709961,10.972200000003795,0.19153976440429688,-0.2801094055175781,0
16978,b'3487403',59277,59264.16,59277.24,1,16.931188583374023,17.15134620666504,17.252960205078125,13.07999999999447,-0.22015762329101562,0.32177162170410156,1
15210,b'31833',59344,59338.27,59344.27,1,17.80571746826172,17.693744659423828,17.532865524291992,6.0,0.11197280883789062,-0.27285194396972656,1
31320,b'914338',59148,59148.53,59148.53,1,21.043888092041016,20.701675415039062,20.50867080688477,0.0,0.3422126770019531,-0.5352172851562464,4
15742,b'3290731',59313,59311.18,59313.3362,1,16.90689468383789,17.005109786987305,16.607154846191406,2.156199999997625,-0.09821510314941406,-0.2997398376464844,3
10723,b'2560830',59317,59304.156,59317.230200000005,1,17.430110931396484,17.736316680908203,17.82090950012207,13.074200000002747,-0.30620574951171875,0.39079856872558594,1
16567,b'3419935',59318,59304.156,59318.2475,1,17.552108764648438,17.629724502563477,17.809635162353516,14.091499999994994,-0.07761573791503906,0.2575263977050781,1
29983,b'722133',59338,59334.203,59338.27,1,17.902774810791016,18.07958602905273,17.596986770629883,4.06699999999546,-0.1768112182617152,-0.3057880401611328,1
12215,b'2745665',59316,59303.344,59316.41,1,16.378345489501953,16.278568267822266,16.64516830444336,13.06600000000617,0.0997772216796875,0.26682281494140625,3
