,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
22273,b'425266',59342,59335.41,59342.26,0,17.266605377197266,17.405187606811523,17.399118423461914,6.849999999998545,-0.1385822296142578,0.13251304626464844,4
16391,b'339480',59216,59204.188,59216.22333333333,0,14.467615127563477,14.781270027160645,14.593710899353027,12.03533333332598,-0.31365489959716797,0.12609577178955078,0
8078,b'2189751',59135,59132.55,59135.42,0,18.489967346191406,18.26940155029297,18.808914184570312,2.8699999999953434,0.2205657958984375,0.31894683837890625,2
22435,b'4265590',59139,59127.387,59139.38,0,14.29404640197754,15.069013595581056,14.154358863830566,11.992999999994936,-0.7749671936035156,-0.13968753814697443,0
1169,b'1175547',59190,59183.387,59190.3426,0,16.06977653503418,16.198291778564453,16.372201919555664,6.955600000001141,-0.12851524353027344,0.3024253845214844,1
11594,b'2665549',59345,59333.324,59345.23366666667,0,14.71843719482422,14.914073944091797,14.789058685302734,11.909666666666453,-0.19563674926757635,0.07062149047851385,0
7354,b'2079674',59129,59127.387,59129.43659999999,0,14.574947357177734,14.82744312286377,14.585456848144531,2.0495999999911874,-0.25249576568603516,0.010509490966796875,0
13448,b'2907688',59136,59127.387,59136.41966666666,0,14.039984703063965,14.651384353637695,14.029592514038086,9.03266666665877,-0.6113996505737305,-0.010392189025878906,0
1175,b'1175547',59198,59183.39,59198.3,0,14.575712203979492,14.872114181518556,14.532869338989258,14.910000000003492,-0.2964019775390643,-0.042842864990234375,0
14800,b'3112233',59200,59192.37,59200.31,0,15.52457332611084,15.752750396728516,15.493656158447266,7.939999999995052,-0.22817707061767578,-0.03091716766357422,1
21138,b'4075052',59140,59127.387,59140.35716666668,0,14.530266761779783,15.134954452514648,14.699721336364746,12.970166666680598,-0.6046876907348651,0.1694545745849627,0
22762,b'4315256',59161,59160.44,59161.44,0,18.401630401611328,18.21832847595215,18.054351806640625,1.0,0.1833019256591797,-0.3472785949707031,2
9962,b'244033',59222,59216.113,59222.257000000005,0,14.566766738891602,14.897675514221191,14.389530181884766,6.144000000007509,-0.33090877532958984,-0.17723655700683594,0
6639,b'1969558',59321,59306.258,59321.25,0,16.219242095947266,16.71542739868164,16.26093101501465,14.99199999999837,-0.496185302734375,0.04168891906738281,1
22342,b'425651',59136,59127.387,59136.41966666666,0,14.87815284729004,15.101417541503906,14.988216400146484,9.03266666665877,-0.2232646942138654,0.11006355285644354,0
25115,b'4650719',59132,59127.387,59132.55,0,13.77474308013916,14.49332046508789,13.71737289428711,5.163000000000466,-0.7185773849487305,-0.05737018585205078,0
1186,b'1175861',59353,59342.26,59353.305,0,16.613616943359375,16.767589569091797,16.76808738708496,11.044999999998254,-0.15397262573242188,0.15447044372558594,4
26835,b'4892948',59221,59215.49,59221.56716666667,0,18.203447341918945,18.654884338378903,18.121715545654297,6.077166666669655,-0.4514369964599574,-0.08173179626464844,2
