,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
30841,b'833178',59132,59131.438,59132.55,2,17.878246307373047,18.26853370666504,17.656728744506836,1.1120000000009895,-0.3902873992919922,-0.22151756286621094,0
6572,b'1963973',59313,59306.258,59313.3362,2,18.36013412475586,18.311546325683597,18.530221939086918,7.078199999996286,0.04858779907226207,0.17008781433105824,0
9655,b'2401986',59129,59127.387,59129.43659999999,2,18.66510772705078,19.095651626586918,18.17415428161621,2.0495999999911874,-0.43054389953613637,-0.4909534454345703,1
16434,b'3399537',59258,59250.145,59258.23,2,16.36027717590332,16.677331924438477,16.359935760498047,8.085000000006403,-0.31705474853515625,-0.0003414154052734375,4
21959,b'4204180',59355,59350.258,59355.31,2,15.537013053894045,15.643916130065918,15.53271484375,5.051999999996042,-0.10690307617187322,-0.004298210144044745,4
5051,b'1775486',59363,59357.31,59363.313833333326,2,19.194236755371094,19.388477325439453,19.33584976196289,6.003833333328657,-0.19424057006835938,0.14161300659179688,1
1608,b'1253810',59320,59315.2,59320.265,2,17.61098289489746,17.853660583496094,17.42147445678711,5.065000000002328,-0.2426776885986328,-0.18950843811035156,0
10250,b'2482605',59135,59132.55,59135.42,2,18.083192825317383,18.33940315246582,17.909759521484375,2.8699999999953434,-0.2562103271484375,-0.1734333038330078,0
26063,b'4784430',58937,58937.387,58937.5252,2,18.20822525024414,18.23739624023437,18.536231994628903,0.13819999999395804,-0.029170989990230822,0.3280067443847621,0
23999,b'4456327',59228,59215.49,59228.662500000006,2,16.63487434387207,16.66333770751953,17.32856559753418,13.172500000007858,-0.028463363647460938,0.6936912536621094,4
24997,b'4632754',59163,59160.44,59163.37,2,14.601317405700684,14.6708984375,14.568251609802246,2.930000000000291,-0.0695810317993164,-0.0330657958984375,3
15330,b'3199757',59185,59182.36,59185.23,2,18.94348907470703,19.178512573242188,18.96249008178711,2.8700000000026193,-0.23502349853515625,0.019001007080078125,1
30842,b'833178',59134,59131.438,59134.10966666666,2,17.211193084716797,17.587844848632812,16.993999481201172,2.671666666661622,-0.3766517639160156,-0.217193603515625,0
20515,b'398445',59142,59127.387,59142.3412,2,16.278553009033203,16.261354446411133,16.631772994995117,14.954200000000128,0.017198562622070312,0.35321998596191406,4
5876,b'187492',59335,59322.188,59335.41,2,17.82748794555664,17.86737060546875,18.052947998046875,13.222000000001572,-0.039882659912109375,0.22546005249023438,0
5959,b'1884540',59231,59229.477,59231.473,2,20.03514671325684,19.796844482421875,20.201045989990234,1.995999999999185,0.2383022308349645,0.16589927673339488,2
19100,b'3791643',59316,59311.18,59316.41,2,15.686532020568848,15.74774932861328,15.823588371276855,5.230000000003201,-0.06121730804443182,0.1370563507080078,4
16465,b'3403180',59225,59219.27,59225.28,2,17.584678649902344,17.752111434936523,17.7513370513916,6.010000000002037,-0.1674327850341797,0.1666584014892578,0
4021,b'1607963',59318,59306.258,59318.2475,2,18.018390655517575,17.97185516357422,18.381086349487305,11.989499999996042,0.04653549194335582,0.3626956939697301,0
