,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
10332,b'2491504',59367,59358.266,59367.259,2,18.01963996887207,18.04000473022461,18.26216125488281,8.992999999994936,-0.020364761352539062,0.24252128601073863,1
10762,b'2564701',59394,59389.27,59394.28,2,15.961156845092772,16.193294525146484,16.002765655517578,5.010000000002037,-0.2321376800537127,0.041608810424806464,8
6312,b'1923716',59320,59305.29,59320.2476,2,17.354822158813477,17.39312744140625,17.615772247314453,14.957600000001548,-0.03830528259277344,0.26095008850097656,1
17904,b'3638749',59358,59350.26,59358.30783333333,2,16.435949325561523,16.29969024658203,16.844627380371094,8.047833333330345,0.1362590789794922,0.4086780548095703,1
30365,b'77366',59194,59191.39,59194.3325,2,16.094226837158203,15.814620971679688,16.617870330810547,2.9424999999973807,0.2796058654785156,0.5236434936523438,4
6005,b'1892405',59357,59357.31,59357.31,2,19.425352096557617,19.191545486450195,19.461944580078125,0.0,0.23380661010742188,0.03659248352050781,6
18260,b'367927',59363,59358.27,59363.31,2,15.584874153137209,15.78522491455078,15.66227912902832,5.040000000000873,-0.20035076141357067,0.0774049758911115,8
31769,b'994742',59184,59169.246,59184.244666666666,2,16.087284088134766,16.19289207458496,16.483509063720703,14.998666666666395,-0.10560798645019531,0.3962249755859375,7
6791,b'1997457',58975,58968.297,58975.42,2,18.49423217773437,18.57986640930176,18.792068481445312,7.1229999999995925,-0.08563423156738992,0.29783630371094105,1
13621,b'292705',59162,59156.348,59162.46,2,15.201406478881836,15.074474334716797,15.645550727844238,6.1120000000009895,0.12693214416503906,0.44414424896240234,1
19101,b'3791643',59317,59311.18,59317.230200000005,2,15.577211380004885,15.61760139465332,15.744561195373535,6.050200000005134,-0.040390014648435724,0.16734981536865057,1
2006,b'1303545',59231,59221.62,59231.4725,2,19.98746681213379,20.14471244812012,20.58495330810547,9.852500000000873,-0.15724563598633168,0.5974864959716797,0
4004,b'1605573',59394,59389.27,59394.28,2,15.031850814819336,15.145490646362305,15.06206512451172,5.010000000002037,-0.11363983154296875,0.03021430969238459,8
30369,b'77366',59200,59191.39,59200.31,2,14.714184761047363,14.624295234680176,15.11982536315918,8.919999999998254,0.0898895263671875,0.4056406021118164,1
6818,b'2001652',59198,59186.19,59198.3,2,14.275535583496094,14.586719512939451,14.433074951171877,12.110000000000582,-0.3111839294433576,0.15753936767578303,7
27352,b'4951199',59235,59235.47,59235.47,2,19.605810165405277,19.922239303588867,19.63302993774414,0.0,-0.3164291381835902,0.027219772338863635,3
5429,b'183759',59362,59348.316,59362.345,2,16.327402114868164,16.397794723510742,16.567466735839844,14.02900000000227,-0.07039260864257812,0.2400646209716797,1
22930,b'4328393',59314,59305.285,59314.29,2,15.51429843902588,15.562129020690918,15.61789608001709,9.00499999999738,-0.047830581665037286,0.10359764099120916,1
