,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
6095,b'1903907',59348,59334.2,59348.2745,1,17.822162628173828,17.69366455078125,17.909446716308594,14.074500000002445,0.12849807739257812,0.08728408813476562,0
22094,b'4228234',59328,59321.25,59328.26666666667,1,18.92132377624512,18.77967071533203,18.885448455810547,7.016666666670062,0.1416530609130895,-0.035875320434573865,0
18916,b'3763362',59138,59127.387,59138.380833333336,1,15.816686630249023,15.764019012451172,15.981212615966797,10.993833333333896,0.05266761779785156,0.16452598571777344,0
9409,b'2362279',59314,59305.285,59314.29,1,15.36427116394043,15.480265617370604,15.390342712402344,9.00499999999738,-0.115994453430174,0.026071548461914062,2
4878,b'175001',59357,59350.37,59357.31,1,15.969820022583008,15.95323657989502,15.838773727416992,6.939999999995052,0.01658344268798828,-0.13104629516601562,0
28716,b'580618',59345,59336.24,59345.2365,1,16.43246841430664,16.606048583984375,16.4104061126709,8.996500000001106,-0.17358016967773438,-0.022062301635742188,2
4543,b'1699601',59228,59215.49,59228.66333333333,1,19.868526458740234,19.95965576171875,20.031051635742188,13.173333333332266,-0.09112930297851562,0.16252517700195312,2
1763,b'1274948',59225,59216.11,59225.28,1,16.94683265686035,16.8242130279541,17.194713592529297,9.169999999998254,0.12261962890625,0.2478809356689453,0
25641,b'4727824',59343,59338.27,59343.24025,1,16.00714111328125,16.092947006225586,15.747021675109863,4.970250000005763,-0.08580589294433594,-0.2601194381713867,3
17158,b'3515217',59221,59215.49,59221.56716666667,1,18.615009307861328,18.44798851013184,19.31072235107422,6.077166666669655,0.16702079772948863,0.6957130432128906,1
2098,b'1326441',59363,59361.223,59363.31,1,17.47513198852539,17.795679092407227,17.48343276977539,2.0869999999995343,-0.32054710388183594,0.00830078125,2
13651,b'2928094',59142,59127.387,59142.3412,1,16.893512725830078,16.663299560546875,17.623783111572266,14.954200000000128,0.23021316528320312,0.7302703857421875,1
26303,b'4822430',59319,59315.2,59319.24583333333,1,18.40764617919922,18.2562255859375,18.18413543701172,4.045833333329938,0.15142059326171875,-0.2235107421875,3
30721,b'825020',59412,59400.27,59412.27,1,16.295635223388672,16.228355407714844,16.24930763244629,12.0,0.06727981567382812,-0.04632759094238281,0
5449,b'1838205',59350,59347.26,59350.347400000006,1,17.25627899169922,17.25887680053711,17.158601760864258,3.0874000000039814,-0.002597808837890625,-0.09767723083496094,0
3968,b'1602727',59226,59220.63,59226.63,1,20.387853622436523,20.12432289123535,20.451416015625,6.0,0.2635307312011719,0.06356239318847656,0
30330,b'767733',58975,58962.34,58975.42,1,20.640365600585938,20.640134811401367,20.674243927001957,13.080000000001746,0.0002307891845703125,0.03387832641601918,0
16043,b'3333285',59344,59332.3,59344.27,1,19.291858673095703,19.432344436645508,19.515085220336918,11.969999999993888,-0.1404857635498047,0.2232265472412145,2
10308,b'2489358',59139,59127.387,59139.38,1,16.00312042236328,16.175065994262695,16.107769012451172,11.992999999994936,-0.17194557189941406,0.10464859008789062,2
20396,b'3965762',59157,59154.316,59157.46,1,16.88628387451172,16.91944122314453,16.644380569458008,3.144000000000233,-0.0331573486328125,-0.24190330505371094,3
3939,b'1600905',59320,59309.188,59320.2476,1,16.19443130493164,16.094341278076172,16.276935577392578,11.0596000000005,0.10009002685546875,0.0825042724609375,0
19289,b'3814660',59370,59359.29,59370.28,1,16.237018585205078,16.13249969482422,16.310049057006836,10.989999999997963,0.10451889038085938,0.07303047180175781,0
19004,b'3779284',59313,59304.156,59313.3362,1,18.4354190826416,18.325138092041016,19.52233123779297,9.180199999995239,0.11028099060058594,1.0869121551513672,1
1720,b'1269769',59143,59129.52,59143.3775,1,18.8090877532959,19.013904571533203,18.819168090820312,13.85750000000553,-0.2048168182373047,0.010080337524414062,2
17205,b'3528119',59366,59357.31,59366.27,1,15.702157974243164,15.894478797912598,15.679893493652344,8.959999999999127,-0.1923208236694336,-0.022264480590820312,2
15298,b'3196111',59357,59355.31,59357.31,1,17.09567642211914,17.163841247558594,16.79186248779297,2.0,-0.06816482543945312,-0.3038139343261719,3
2089,b'1318418',59291,59280.3,59291.41,1,20.49735641479492,20.33672142028809,20.400278091430664,11.110000000000582,0.16063499450682883,-0.09707832336425426,0
9778,b'2419935',59185,59178.17,59185.23,1,16.15073013305664,16.370052337646484,16.086727142333984,7.060000000004948,-0.21932220458984375,-0.06400299072265625,2
24986,b'4629932',59318,59304.156,59318.2475,1,18.232421875,17.942596435546875,19.188907623291016,14.091499999994994,0.289825439453125,0.9564857482910156,1
