,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
3999,b'1604779',59229,59222.246,59229.23,0,15.18770694732666,15.375360488891602,15.19935131072998,6.984000000004016,-0.1876535415649414,0.011644363403320312,1
14212,b'3018107',59162,59158.43,59162.46,0,17.052505493164062,17.148941040039062,17.20110511779785,4.029999999998836,-0.096435546875,0.14859962463378906,1
2275,b'1350238',59170,59157.46,59170.39,0,14.181631088256836,14.511550903320312,14.051786422729492,12.930000000000291,-0.32991981506347656,-0.12984466552734375,1
4679,b'1716548',59313,59304.156,59313.3362,0,16.567779541015625,17.23908805847168,16.630783081054688,9.180199999995239,-0.6713085174560547,0.0630035400390625,1
22678,b'4303989',59322,59309.26,59322.4,0,18.249027252197266,18.69959259033203,18.17437171936035,13.139999999999418,-0.4505653381347656,-0.07465553283691406,1
23194,b'4361059',59191,59190.39,59191.3925,0,18.81838607788086,18.632797241210938,18.44220542907715,1.0025000000023283,0.18558883666992188,-0.37618064880371094,2
84,b'1005589',58975,58962.34,58975.42,0,19.66942977905273,20.24310111999512,20.348237991333008,13.080000000001746,-0.5736713409423899,0.678808212280277,0
9524,b'2388188',59144,59131.5,59144.4074,0,14.357538223266602,14.650262832641602,14.329191207885742,12.907399999996414,-0.292724609375,-0.028347015380859375,1
28020,b'5034852',59347,59343.25,59347.26,0,18.469112396240234,18.54867172241211,19.034969329833984,4.010000000002037,-0.079559326171875,0.56585693359375,0
8925,b'2306464',59140,59127.387,59140.35716666668,0,14.14218521118164,14.511751174926758,14.15083122253418,12.970166666680598,-0.3695659637451172,0.008646011352539062,1
8637,b'2271173',59027,59014.203,59027.27,0,18.665515899658203,18.96954345703125,18.954593658447266,13.06699999999546,-0.3040275573730469,0.2890777587890625,1
14895,b'3130818',59317,59305.29,59317.230200000005,0,14.568065643310549,15.097489356994627,14.683820724487305,11.940200000004552,-0.5294237136840785,0.11575508117675604,1
7112,b'2043444',59318,59311.18,59318.2475,0,14.74306869506836,15.027473449707031,14.671319961547852,7.067499999997381,-0.2844047546386719,-0.07174873352050781,1
20977,b'4060270',59142,59127.387,59142.3412,0,15.01499366760254,15.240010261535645,15.779075622558594,14.954200000000128,-0.2250165939331037,0.7640819549560529,0
28071,b'5041818',59163,59154.223,59163.37,0,14.417722702026367,14.743857383728027,14.356456756591797,9.147000000004482,-0.32613468170166016,-0.06126594543457031,1
29398,b'65790',59313,59307.164,59313.3362,0,14.80095100402832,15.011013984680176,14.931432723999023,6.172200000000885,-0.21006298065185547,0.13048171997070312,1
14384,b'3042932',58937,58933.53,58937.5252,0,19.68427276611328,19.87876892089844,19.80532455444336,3.995199999997567,-0.1944961547851598,0.12105178833007812,1
26812,b'4890549',59324,59324.184,59324.232833333335,0,19.61048698425293,19.717634201049805,19.63878059387207,0.048833333334187046,-0.107147216796875,0.028293609619140625,1
22769,b'4315256',59170,59160.44,59170.39,0,14.559741020202637,14.835391998291016,14.51261043548584,9.94999999999709,-0.2756509780883789,-0.047130584716796875,1
181,b'1027301',59291,59291.41,59291.41,0,21.03829002380371,21.317161560058597,20.532451629638672,0.0,-0.27887153625488637,-0.5058383941650391,1
10907,b'2584499',59372,59366.27,59372.265,0,15.892950057983398,16.088123321533203,16.027124404907227,5.995000000002619,-0.1951732635498047,0.13417434692382812,1
13206,b'2852770',59317,59305.29,59317.230200000005,0,13.978483200073242,14.665889739990234,13.950672149658203,11.940200000004552,-0.6874065399169922,-0.027811050415039062,1
20988,b'4060706',59163,59160.44,59163.37,0,16.39813232421875,16.637775421142578,16.369155883789062,2.930000000000291,-0.23964309692382812,-0.0289764404296875,1
1182,b'1175861',59345,59342.26,59345.23366666667,0,18.30109024047852,18.375019073486328,18.593351364135746,2.97366666666494,-0.07392883300780895,0.29226112365722656,1
