,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
11147,b'2611763',59342,59342.26,59342.26,1,19.175559997558597,19.5485954284668,19.038448333740234,0.0,-0.3730354309082031,-0.13711166381836293,0
30150,b'744545',59367,59353.19,59367.259,1,15.329177856445312,15.375619888305664,15.548535346984863,14.068999999995867,-0.04644203186035156,0.21935749053955078,1
1078,b'1162280',59374,59365.29,59374.2675,1,18.323326110839844,18.306964874267575,18.40267372131348,8.977500000000873,0.016361236572269178,0.07934761047363637,0
30389,b'776944',59350,59350.258,59350.347400000006,1,17.35417366027832,17.682443618774414,17.510452270507812,0.08940000000438886,-0.32826995849609375,0.1562786102294922,0
31806,b'999808',59231,59229.473,59231.4725,1,20.402812957763672,20.14020156860352,19.966552734375,1.999500000005355,0.2626113891601527,-0.4362602233886719,0
15034,b'3152568',59255,59243.22,59255.23,1,13.80164623260498,13.895535469055176,13.952880859375,12.010000000002037,-0.09388923645019531,0.15123462677001953,0
31073,b'879674',59166,59166.4,59166.4,1,18.01719665527344,18.32089614868164,18.08805084228516,0.0,-0.3036994934081996,0.07085418701171875,0
26216,b'4813653',59335,59331.29,59335.41,1,15.657478332519531,15.69444179534912,15.480607986450195,4.120000000002619,-0.03696346282958807,-0.17687034606933594,0
714,b'110107',59319,59317.18,59319.2475,1,18.33467483520508,18.27811813354492,18.06966781616211,2.0674999999973807,0.056556701660163355,-0.2650070190429723,0
6711,b'1975894',58975,58968.297,58975.42,1,17.58121681213379,17.765220642089844,17.68962287902832,7.1229999999995925,-0.1840038299560547,0.10840606689453125,0
29340,b'654191',59343,59342.26,59343.2434,1,17.862144470214844,17.988536834716797,17.32476043701172,0.9833999999973457,-0.12639236450195312,-0.537384033203125,0
18584,b'3722673',59343,59334.2,59343.2434,1,16.014562606811523,16.309234619140625,15.927700996398926,9.043400000002293,-0.29467201232910156,-0.08686161041259766,0
8640,b'2276418',59320,59320.26,59320.26666666666,1,20.79292106628418,20.720020294189453,20.6145133972168,0.006666666660748888,0.07290077209472656,-0.17840766906737926,0
11139,b'2610713',59315,59307.16,59315.23666666666,1,16.385826110839844,16.53390121459961,16.334505081176758,8.076666666653182,-0.14807510375976562,-0.05132102966308594,0
31455,b'936581',59246,59243.22,59246.23,1,16.453153610229492,16.425140380859375,16.25564956665039,3.0100000000020373,0.028013229370117188,-0.19750404357910156,0
11425,b'2648771',59374,59361.223,59374.2675,1,17.443941116333008,17.528926849365234,17.598907470703125,13.044500000003609,-0.08498573303222656,0.1549663543701172,0
1214,b'1181253',58937,58937.387,58937.5252,1,19.139556884765625,19.222909927368164,18.92012023925781,0.13819999999395804,-0.08335304260253906,-0.21943664550781605,0
10283,b'2486049',59161,59161.44,59161.44,1,18.889738082885746,19.023420333862305,18.50895118713379,0.0,-0.13368225097655895,-0.3807868957519567,0
19683,b'3875486',59317,59303.344,59317.230200000005,1,15.757075309753418,15.734519958496094,15.810457229614258,13.886200000008103,0.02255535125732422,0.053381919860839844,0
21982,b'420449',59321,59309.188,59321.25,1,16.4096622467041,16.337751388549805,16.324176788330078,12.06199999999808,0.07191085815429688,-0.08548545837402344,0
18117,b'3661343',59255,59246.23,59255.23,1,20.308155059814453,20.09371757507324,20.83358764648437,9.0,0.2144374847412145,0.5254325866699183,1
28214,b'5066654',59219,59212.33,59219.27,1,16.21515464782715,16.251422882080078,16.093971252441406,6.939999999995052,-0.03626823425292969,-0.12118339538574219,0
24338,b'4521158',59358,59358.27,59358.30783333333,1,20.214282989501957,20.367015838623047,19.740102767944336,0.03783333333558403,-0.1527328491210902,-0.47418022155762074,0
23692,b'4413593',59131,59127.387,59131.4874,1,15.698490142822266,15.69264793395996,15.88153839111328,4.100399999995716,0.005842208862306464,0.18304824829101385,1
14200,b'3016667',59354,59354.246,59354.3245,1,20.53191947937012,20.695995330810547,20.166088104248047,0.07850000000325963,-0.16407585144042613,-0.36583137512207387,0
6987,b'2026023',59322,59320.176,59322.24483333333,1,16.898164749145508,17.035383224487305,16.56246566772461,2.0688333333309856,-0.13721847534179688,-0.33569908142089844,0
31511,b'943072',59225,59218.11,59225.28,1,15.401065826416016,15.527347564697266,15.469683647155762,7.169999999998254,-0.12628173828125,0.0686178207397461,0
23220,b'4361996',59318,59304.156,59318.2475,1,17.455297470092773,17.545724868774414,17.784690856933594,14.091499999994994,-0.09042739868164062,0.3293933868408203,1
23076,b'4342812',59173,59164.27,59173.39,1,15.97064208984375,15.94082736968994,15.90956211090088,9.12000000000262,0.02981472015381037,-0.06107997894286932,0
26707,b'4874082',59342,59332.3,59342.26,1,15.965595245361328,15.926401138305664,15.969223022460938,9.959999999999127,0.03919410705566406,0.003627777099609375,0
4615,b'1707158',59316,59305.285,59316.41,1,16.296640396118164,16.203548431396484,16.54216194152832,11.125,0.09309196472167969,0.24552154541015625,1
14626,b'3074539',59317,59304.156,59317.230200000005,1,18.99267196655273,18.76824188232422,19.271533966064453,13.074200000002747,0.22443008422851207,0.2788619995117223,1
29248,b'643291',59346,59331.29,59346.28,1,13.734064102172852,13.815313339233398,13.915629386901855,14.989999999997963,-0.08124923706054688,0.1815652847290039,0
6786,b'199507',59228,59215.49,59228.662500000006,1,19.12195587158203,19.060718536376957,19.122583389282227,13.172500000007858,0.06123733520507457,0.0006275177001953125,0
336,b'1044837',58967,58954.254,58967.49,1,16.58375358581543,16.76313018798828,16.63029670715332,13.235999999997148,-0.17937660217285156,0.046543121337890625,0
26127,b'4800762',59373,59370.28,59373.2675,1,16.15427017211914,16.19598388671875,15.978153228759766,2.9875000000029104,-0.041713714599609375,-0.176116943359375,0
24348,b'4521158',59373,59358.27,59373.2675,1,16.443464279174805,16.42621612548828,16.43911361694336,14.997500000004948,0.017248153686523438,-0.0043506622314453125,0
11736,b'2686753',59354,59353.355,59354.328,1,18.101408004760746,18.13524627685547,17.758319854736328,0.9729999999981374,-0.03383827209472301,-0.3430881500244176,0
15886,b'3305773',59229,59228.152,59229.23,1,18.687725067138672,18.745738983154297,18.311351776123047,1.0780000000013388,-0.058013916015625,-0.376373291015625,0
10771,b'2565763',59363,59361.223,59363.31,1,18.05792617797852,18.108911514282227,17.82267189025879,2.0869999999995343,-0.050985336303707385,-0.23525428771973012,0
20523,b'3987089',59027,59014.203,59027.27,1,19.93505096435547,19.60781478881836,20.334300994873047,13.06699999999546,0.3272361755371094,0.3992500305175781,1
21259,b'4093985',59313,59306.258,59313.32775,1,17.787094116210938,20.22980499267578,17.75160026550293,7.069749999995111,-2.4427108764648438,-0.03549385070800781,3
16300,b'3378854',59252,59243.22,59252.2152,1,16.032711029052734,16.291086196899414,16.12661361694336,8.995199999997567,-0.2583751678466797,0.093902587890625,0
30341,b'773463',59332,59331.29,59332.3,1,17.94413948059082,17.99329376220703,17.61186981201172,1.0100000000020373,-0.04915428161621094,-0.33226966857910156,0
19710,b'3878597',59134,59127.387,59134.10966666666,1,16.723007202148438,16.917329788208008,16.706697463989258,6.722666666661098,-0.1943225860595703,-0.016309738159179688,0
30333,b'771240',59220,59215.49,59220.63,1,20.059619903564453,19.86473655700684,20.08108901977539,5.139999999999418,0.19488334655761363,0.0214691162109375,0
4614,b'1707158',59315,59305.285,59315.23666666666,1,16.290664672851562,16.192005157470703,16.51517677307129,9.951666666653182,0.09865951538085938,0.22451210021972656,1
3684,b'1568269',59313,59304.156,59313.3362,1,18.662975311279297,18.834152221679688,18.919836044311523,9.180199999995239,-0.17117691040039062,0.25686073303222656,1
20150,b'392319',59226,59215.49,59226.63,1,19.55328750610352,19.651994705200195,19.57923889160156,11.139999999999418,-0.09870719909667613,0.02595138549803977,0
17541,b'3577849',59373,59368.28,59373.2675,1,17.780092239379883,18.035831451416016,17.513063430786133,4.98750000000291,-0.2557392120361328,-0.26702880859375,0
31372,b'923912',59144,59134.01,59144.4074,1,15.743402481079102,15.60096263885498,15.778912544250488,10.397399999994377,0.1424398422241211,0.03551006317138672,0
1423,b'1220689',58937,58937.387,58937.5252,1,21.12353134155273,20.94800567626953,21.30982208251953,0.13819999999395804,0.17552566528319957,0.18629074096680043,1
27420,b'4961249',59316,59305.285,59316.41,1,16.702104568481445,16.77695083618164,17.774208068847656,11.125,-0.07484626770019531,1.072103500366211,1
3914,b'1600901',59319,59317.18,59319.2475,1,15.235065460205078,15.459691047668455,15.060075759887695,2.0674999999973807,-0.22462558746337713,-0.1749897003173828,0
3486,b'1544330',59134,59127.387,59134.10966666666,1,16.27246856689453,16.294078826904297,16.156253814697266,6.722666666661098,-0.021610260009765625,-0.11621475219726562,0
20124,b'3920819',59356,59349.32,59356.3075,1,16.491718292236328,16.5792179107666,16.295635223388672,6.98750000000291,-0.08749961853027344,-0.19608306884765625,0
4212,b'1641592',59318,59308.254,59318.2475,1,17.850749969482422,17.71158790588379,18.118783950805664,9.993499999996857,0.1391620635986328,0.2680339813232422,1
23885,b'4435035',59324,59315.2,59324.232833333335,1,16.386266708374023,16.43444061279297,16.403865814208984,9.032833333338203,-0.04817390441894531,0.017599105834960938,0
14470,b'3054302',59139,59127.387,59139.38,1,17.23235511779785,17.016759872436523,18.16598892211914,11.992999999994936,0.21559524536132812,0.9336338043212891,1
27941,b'5018464',59317,59304.156,59317.230200000005,1,17.614810943603516,17.59261703491211,17.77352523803711,13.074200000002747,0.02219390869140625,0.15871429443359375,0
25322,b'4684240',59334,59332.3,59334.32833333333,1,17.661108016967773,17.70306396484375,17.407764434814453,2.0283333333281917,-0.04195594787597656,-0.2533435821533203,0
20075,b'3911362',59335,59324.184,59335.41,1,17.72588539123535,17.599252700805664,17.762351989746094,11.226000000002387,0.1266326904296875,0.03646659851074219,0
