,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
3415,b'1535550',59195,59183.39,59195.27033333333,1,15.010725021362305,14.867073059082031,15.361930847167969,11.880333333327144,0.14365196228027344,0.35120582580566406,1
10858,b'2576662',59370,59361.223,59370.28,1,15.960655212402344,15.95943546295166,15.73304271697998,9.057000000000698,0.0012197494506835938,-0.22761249542236328,0
22577,b'4289943',59255,59246.23,59255.23,1,20.46441650390625,20.288368225097656,20.462013244628903,9.0,0.17604827880859375,-0.0024032592773473027,0
7691,b'21243',58937,58937.387,58937.5252,1,19.460582733154297,19.332843780517575,19.50150680541992,0.13819999999395804,0.1277389526367223,0.04092407226562145,0
13234,b'2861764',59222,59218.113,59222.257000000005,1,16.799367904663086,16.87959098815918,16.780277252197266,4.144000000007509,-0.08022308349609375,-0.019090652465820312,0
13314,b'2889195',59222,59220.63,59222.58,1,20.862564086914062,21.082740783691406,20.770977020263672,1.9500000000043656,-0.22017669677734375,-0.09158706665039062,0
11299,b'2637604',59343,59331.29,59343.2434,1,15.947608947753906,15.836867332458496,16.018722534179688,11.95339999999851,0.11074161529541016,0.07111358642578125,0
25201,b'4661324',59221,59215.49,59221.56716666667,1,20.680768966674805,20.15513610839844,21.128742218017575,6.077166666669655,0.5256328582763636,0.4479732513427699,1
3079,b'1480254',59364,59353.35,59364.26,1,15.750627517700195,15.646687507629396,15.666417121887209,10.910000000003492,0.103940010070799,-0.0842103958129865,0
10239,b'2476541',59027,59023.215,59027.27,1,20.40727424621582,20.251056671142575,20.401744842529297,4.055000000000291,0.15621757507324574,-0.0055294036865234375,0
12161,b'2737043',59319,59319.22,59319.247,1,20.93146133422852,20.92630386352539,20.358062744140625,0.027000000001862645,0.005157470703128553,-0.5733985900878942,0
15207,b'31833',59338,59338.27,59338.27,1,18.319259643554688,18.031391143798828,18.182636260986328,0.0,0.2878684997558594,-0.13662338256835938,0
13669,b'2930533',59170,59161.44,59170.39,1,16.257335662841797,16.42880630493164,16.41531753540039,8.94999999999709,-0.17147064208984375,0.15798187255859375,1
25874,b'47620',59318,59304.156,59318.2475,1,18.393054962158203,18.330371856689453,18.60445022583008,14.091499999994994,0.06268310546875,0.21139526367187855,1
24104,b'4477886',59136,59134.293,59136.41966666666,1,17.37700653076172,17.482954025268555,17.03957748413086,2.1266666666633682,-0.10594749450683594,-0.3374290466308594,0
10747,b'2564342',59357,59353.35,59357.31,1,18.778697967529297,18.97610282897949,18.439434051513672,3.959999999999127,-0.19740486145019176,-0.339263916015625,0
7141,b'2045566',59188,59176.254,59188.295000000006,1,15.868454933166504,15.7747163772583,15.938779830932615,12.041000000004715,0.09373855590820312,0.0703248977661115,0
9699,b'2407312',59226,59220.63,59226.63,1,20.513694763183597,20.871078491210938,20.384281158447266,6.0,-0.3573837280273402,-0.12941360473633168,0
28513,b'5362',59231,59219.44,59231.4725,1,20.383590698242188,20.35198211669922,20.41157913208008,12.032500000001164,0.03160858154296875,0.027988433837894178,0
3025,b'1461935',59231,59219.445,59231.473,1,19.91717338562012,19.75821304321289,19.96953582763672,12.027999999998428,0.15896034240723012,0.05236244201659801,0
23406,b'4382622',59183,59178.17,59183.39,1,17.03708267211914,16.98716926574707,17.078636169433594,5.220000000001164,0.04991340637207031,0.041553497314453125,0
25818,b'4754559',59317,59307.164,59317.230200000005,1,16.388534545898438,16.282371520996094,16.313934326171875,10.066200000008394,0.10616302490234375,-0.0746002197265625,0
2251,b'134863',59347,59332.3,59347.26,1,18.05956649780273,18.041748046875,18.733604431152344,14.959999999999127,0.017818450927730822,0.6740379333496129,1
30518,b'806377',59389,59389.27,59389.27,1,14.701638221740724,14.75542163848877,15.06304931640625,0.0,-0.0537834167480451,0.36141109466552557,1
