,SNID,norm_MJD,1stDet,MJD,parsnip_type,BAND_r,BAND_i,BAND_g,days_since,r-i,g-r,cluster
23432,b'4383551',59318,59303.344,59318.2475,0,14.069729804992676,14.678167343139648,13.962181091308594,14.90350000000035,-0.6084375381469727,-0.10754871368408203,4
25506,b'4707536',59228,59217.39,59228.662500000006,0,18.05719566345215,18.39788246154785,17.826858520507812,11.272500000006403,-0.3406867980957031,-0.23033714294433594,4
6743,b'1980302',59320,59313.37,59320.265,0,14.900594711303713,15.133758544921877,14.85383129119873,6.894999999996799,-0.23316383361816406,-0.046763420104982245,4
15607,b'3270405',59358,59347.26,59358.30783333333,0,14.02450942993164,14.39409351348877,13.887548446655272,11.047833333330345,-0.3695840835571289,-0.13696098327636896,4
5351,b'1829117',59169,59166.395,59169.3565,0,16.53331756591797,16.7409610748291,16.45936393737793,2.9615000000048894,-0.2076435089111328,-0.07395362854003906,4
28976,b'612640',59193,59193.184,59193.28016666666,0,20.491771697998047,20.179035186767575,19.91842269897461,0.09616666665533558,0.3127365112304723,-0.5733489990234375,4
19978,b'3906254',59147,59135.42,59147.48,0,14.332269668579102,14.623966217041016,14.168147087097168,12.060000000004948,-0.29169654846191406,-0.1641225814819336,4
3476,b'1543053',59318,59309.188,59318.2475,0,14.231728553771973,14.564423561096191,14.099970817565918,9.05949999999575,-0.33269500732421875,-0.1317577362060547,4
21933,b'4197238',59228,59215.49,59228.662500000006,0,18.974056243896484,19.32013702392578,19.443872451782227,13.172500000007858,-0.3460807800292969,0.4698162078857422,4
2295,b'1351125',59321,59312.38,59321.25,0,14.596330642700195,14.916168212890623,14.485408782958984,8.87000000000262,-0.3198375701904279,-0.11092185974121094,4
12178,b'2740400',58937,58937.387,58937.5252,0,20.538311004638672,20.723323822021484,20.41608238220215,0.13819999999395804,-0.1850128173828125,-0.12222862243652344,4
6851,b'2006786',59230,59215.49,59230.1705,0,18.816486358642575,19.354063034057617,19.39277648925781,14.680500000002212,-0.5375766754150426,0.5762901306152344,4
20895,b'4047410',59320,59311.18,59320.2476,0,14.510208129882812,14.794697761535645,14.477377891540527,9.06760000000213,-0.28448963165283203,-0.032830238342285156,4
8942,b'2308103',59167,59156.47,59167.37866666666,0,14.64926815032959,14.86769199371338,14.80559253692627,10.908666666655336,-0.21842384338379084,0.1563243865966797,4
27889,b'5016159',59132,59127.387,59132.55,0,14.47654628753662,15.106754302978516,14.733519554138184,5.163000000000466,-0.6302080154418963,0.2569732666015643,4
